schema_version	candidate_id	gene	priority_tier	mapping_status	tier1_grade	magma_tested_traits	magma_significant_traits	magma_min_p	qtl_routes	qtl_signal_routes	qtl_exact_routes	qtl_scope_status	valid_coloc_routes	final_gene_level_grade	gene_level_support_basis	interpretation_note
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0001	ACAT2	P2	mapped_by_symbol	none_found	4	0	0.0037892	4	0	2	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0002	AGRN	P2	mapped_by_symbol	none_found	4	0	9.381e-05	2	2	1	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0003	AL035071.1	P3	symbol_mapping_failed	none_found	0	0	NA	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0004	AL139260.1	P3	symbol_mapping_failed	none_found	0	0	NA	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0005	ALG8	P3	mapped_by_symbol	none_found	4	0	0.29659	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0006	ANKRD11	P2	mapped_by_symbol	none_found	4	0	0.24883	4	2	2	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0007	ANKRD13A	P3	mapped_by_symbol	none_found	4	0	0.058113	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0008	AP2M1	P2	mapped_by_symbol	none_found	4	0	0.068393	2	1	1	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0009	APOE	P2	mapped_by_symbol	strong	4	4	6.5503e-15	6	3	3	assessed_P1_P2	0	strong	tier1_public_summary	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0010	ARGLU1	P3	mapped_by_symbol	none_found	4	0	0.55564	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0011	ARID5A	P2	mapped_by_symbol	none_found	4	0	0.041967	2	1	1	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0012	ATCAY	P2	mapped_by_symbol	none_found	4	0	0.52689	2	1	1	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0013	ATG101	P2	mapped_by_symbol	none_found	4	0	0.069104	6	3	3	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0014	ATP6AP2	P2	mapped_by_symbol	none_found	0	0	NA	6	0	0	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0015	ATP6V0B	P2	mapped_by_symbol	none_found	4	0	0.14492	4	4	2	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0016	ATP6V0E2	P3	mapped_by_symbol	none_found	4	0	0.4432	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0017	ATP6V1F	P2	mapped_by_symbol	none_found	4	0	0.020108	6	3	3	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0018	ATP6V1G1	P2	mapped_by_symbol	none_found	4	0	0.33513	2	2	1	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0019	B3GAT3	P2	mapped_by_symbol	none_found	4	0	0.07924	4	2	2	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0020	BAIAP2L1	P2	mapped_by_symbol	none_found	4	0	0.46137	2	0	1	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0021	BCL6	P2	mapped_by_symbol	none_found	4	0	0.079221	2	1	0	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0022	BEX1	P2	mapped_by_symbol	none_found	0	0	NA	4	0	0	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0023	BEX3	P2	mapped_by_symbol	none_found	0	0	NA	6	0	0	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0024	BEX4	P3	mapped_by_symbol	none_found	0	0	NA	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0025	BEX5	P2	mapped_by_symbol	none_found	0	0	NA	2	0	0	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0026	BMPR2	P2	mapped_by_symbol	none_found	4	0	0.071115	2	1	1	assessed_P1_P2	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
phase19b_sex_apoe_kda_combo_v2_final_evidence	GS19B0027	BRD1	P3	mapped_by_symbol	none_found	4	0	0.0075085	0	0	0	not_run_preregistered_P3_stop	0	none_found	none_found	QTL signal alone is annotation; no route had the complete compatible model inputs required for H0-H4 colocalization
