schema_version	candidate_id	gene	priority_tier	direct_mapping_rows	direct_best_inclusion_score	direct_min_p	direct_rsids	workbook_twas_significant	workbook_ctwas_significant	workbook_mr_significant	in_public_twas_list	in_public_gvc_list	window_variant_rows	window_min_p	window_max_inclusion_score	window_cs95_variants	grade
phase19b_sex_apoe_kda_combo_v2_fungen	GS19B0001	ACAT2	P2	0	NA	NA		False	False	False	False	False	0	NA	NA	0	none_found
phase19b_sex_apoe_kda_combo_v2_fungen	GS19B0002	AGRN	P2	0	NA	NA		False	False	False	False	False	0	NA	NA	0	none_found
phase19b_sex_apoe_kda_combo_v2_fungen	GS19B0003	AL035071.1	P3	0	NA	NA		False	False	False	False	False	0	NA	NA	0	none_found
phase19b_sex_apoe_kda_combo_v2_fungen	GS19B0004	AL139260.1	P3	0	NA	NA		False	False	False	False	False	0	NA	NA	0	none_found
phase19b_sex_apoe_kda_combo_v2_fungen	GS19B0005	ALG8	P3	0	NA	NA		False	False	False	False	False	0	NA	NA	0	none_found
phase19b_sex_apoe_kda_combo_v2_fungen	GS19B0006	ANKRD11	P2	0	NA	NA		False	False	False	False	False	1	1.2736152958146e-11	0.994063957585658	1	none_found
phase19b_sex_apoe_kda_combo_v2_fungen	GS19B0007	ANKRD13A	P3	0	NA	NA		False	False	False	False	False	0	NA	NA	0	none_found
phase19b_sex_apoe_kda_combo_v2_fungen	GS19B0008	AP2M1	P2	0	NA	NA		False	False	False	False	False	9	1.7819617459008e-06	0.469524948053181	0	none_found
phase19b_sex_apoe_kda_combo_v2_fungen	GS19B0009	APOE	P2	8	1.0	1.87958468900453e-155	rs11672748|rs2075619|rs34041051|rs3786505|rs429358|rs57204168	True	False	True	True	True	13	1.8795846890045303e-155	1.0	11	strong
phase19b_sex_apoe_kda_combo_v2_fungen	GS19B0010	ARGLU1	P3	0	NA	NA		False	False	False	False	False	0	NA	NA	0	none_found
phase19b_sex_apoe_kda_combo_v2_fungen	GS19B0011	ARID5A	P2	0	NA	NA		False	False	False	False	False	0	NA	NA	0	none_found
phase19b_sex_apoe_kda_combo_v2_fungen	GS19B0012	ATCAY	P2	0	NA	NA		False	False	False	False	False	0	NA	NA	0	none_found
phase19b_sex_apoe_kda_combo_v2_fungen	GS19B0013	ATG101	P2	0	NA	NA		False	False	False	False	False	3	9.15734499050852e-06	0.999996585615016	0	none_found
phase19b_sex_apoe_kda_combo_v2_fungen	GS19B0014	ATP6AP2	P2	0	NA	NA		False	False	False	False	False	0	NA	NA	0	none_found
phase19b_sex_apoe_kda_combo_v2_fungen	GS19B0015	ATP6V0B	P2	0	NA	NA		False	False	False	False	False	0	NA	NA	0	none_found
phase19b_sex_apoe_kda_combo_v2_fungen	GS19B0016	ATP6V0E2	P3	0	NA	NA		False	False	False	False	False	0	NA	NA	0	none_found
phase19b_sex_apoe_kda_combo_v2_fungen	GS19B0017	ATP6V1F	P2	0	NA	NA		False	False	False	False	False	14	4.12830704348647e-06	0.57909403831179	0	none_found
phase19b_sex_apoe_kda_combo_v2_fungen	GS19B0018	ATP6V1G1	P2	0	NA	NA		False	False	False	False	False	0	NA	NA	0	none_found
phase19b_sex_apoe_kda_combo_v2_fungen	GS19B0019	B3GAT3	P2	0	NA	NA		False	False	False	False	False	0	NA	NA	0	none_found
phase19b_sex_apoe_kda_combo_v2_fungen	GS19B0020	BAIAP2L1	P2	0	NA	NA		False	False	False	False	False	0	NA	NA	0	none_found
phase19b_sex_apoe_kda_combo_v2_fungen	GS19B0021	BCL6	P2	0	NA	NA		False	False	False	False	False	0	NA	NA	0	none_found
phase19b_sex_apoe_kda_combo_v2_fungen	GS19B0022	BEX1	P2	0	NA	NA		False	False	False	False	False	0	NA	NA	0	none_found
phase19b_sex_apoe_kda_combo_v2_fungen	GS19B0023	BEX3	P2	0	NA	NA		False	False	False	False	False	0	NA	NA	0	none_found
phase19b_sex_apoe_kda_combo_v2_fungen	GS19B0024	BEX4	P3	0	NA	NA		False	False	False	False	False	0	NA	NA	0	none_found
phase19b_sex_apoe_kda_combo_v2_fungen	GS19B0025	BEX5	P2	0	NA	NA		False	False	False	False	False	0	NA	NA	0	none_found
phase19b_sex_apoe_kda_combo_v2_fungen	GS19B0026	BMPR2	P2	0	NA	NA		False	False	False	False	False	250	2.41812437663545e-07	0.138606650999245	250	none_found
phase19b_sex_apoe_kda_combo_v2_fungen	GS19B0027	BRD1	P3	0	NA	NA		False	False	False	False	False	0	NA	NA	0	none_found
phase19b_sex_apoe_kda_combo_v2_fungen	GS19B0028	BRK1	P3	0	NA	NA		False	False	False	False	False	0	NA	NA	0	none_found
