schema_version	rds_id	canonical_symbol	symbol_hgnc_current	reference_class	hgnc_id	ensembl_id_stable	chromosome	gene_type	sub_mito_localization	mapped_feature	measured	test_eligible
mitochondrial_reference_inventory_v1	astrocytes	AADAT	AADAT	core_mito_protein	HGNC:17929	ENSG00000109576	chr4	protein_coding	Matrix	AADAT	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	AARS2	AARS2	core_mito_protein	HGNC:21022	ENSG00000124608	chr6	protein_coding	Matrix	AARS2	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	AASS	AASS	core_mito_protein	HGNC:17366	ENSG00000008311	chr7	protein_coding	Matrix	AASS	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ABAT	ABAT	core_mito_protein	HGNC:23	ENSG00000183044	chr16	protein_coding	Matrix	ABAT	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ABCA9	ABCA9	core_mito_protein	HGNC:39	ENSG00000154258	chr17	protein_coding	Membrane	ABCA9	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ABCB10	ABCB10	core_mito_protein	HGNC:41	ENSG00000135776	chr1	protein_coding	MIM	ABCB10	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ABCB6	ABCB6	core_mito_protein	HGNC:47	ENSG00000115657	chr2	protein_coding	MOM	ABCB6	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ABCB7	ABCB7	core_mito_protein	HGNC:48	ENSG00000131269	chrX	protein_coding	MIM	ABCB7	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ABCB8	ABCB8	core_mito_protein	HGNC:49	ENSG00000197150	chr7	protein_coding	MIM	ABCB8	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ABCD1	ABCD1	core_mito_protein	HGNC:61	ENSG00000101986	chrX	protein_coding	Membrane	ABCD1;AMN	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ABCD2	ABCD2	core_mito_protein	HGNC:66	ENSG00000173208	chr12	protein_coding	Membrane	ABCD2	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ABCD3	ABCD3	core_mito_protein	HGNC:67	ENSG00000117528	chr1	protein_coding	Membrane	ABCD3	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ABHD10	ABHD10	core_mito_protein	HGNC:25656	ENSG00000144827	chr3	protein_coding	Matrix	ABHD10	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ABHD11	ABHD11	core_mito_protein	HGNC:16407	ENSG00000106077	chr7	protein_coding	Matrix	ABHD11	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ACAA1	ACAA1	core_mito_protein	HGNC:82	ENSG00000060971	chr3	protein_coding	unknown	ACAA1	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ACAA2	ACAA2	core_mito_protein	HGNC:83	ENSG00000167315	chr18	protein_coding	Matrix	ACAA2	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ACACA	ACACA	core_mito_protein	HGNC:84	ENSG00000278540	chr17	protein_coding	Matrix	ACACA	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ACACB	ACACB	core_mito_protein	HGNC:85	ENSG00000076555	chr12	protein_coding	MOM	ACACB	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ACAD10	ACAD10	core_mito_protein	HGNC:21597	ENSG00000111271	chr12	protein_coding	Matrix	ACAD10	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ACAD11	ACAD11	core_mito_protein	HGNC:30211	ENSG00000240303	chr3	protein_coding	MIM	ACAD11	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ACAD8	ACAD8	core_mito_protein	HGNC:87	ENSG00000151498	chr11	protein_coding	Matrix	ACAD8	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ACAD9	ACAD9	core_mito_protein	HGNC:21497	ENSG00000177646	chr3	protein_coding	MIM	ACAD9	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ACADL	ACADL	core_mito_protein	HGNC:88	ENSG00000115361	chr2	protein_coding	MIM	ACADL	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ACADM	ACADM	core_mito_protein	HGNC:89	ENSG00000117054	chr1	protein_coding	Matrix	ACADM	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ACADS	ACADS	core_mito_protein	HGNC:90	ENSG00000122971	chr12	protein_coding	Matrix	ACADS	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ACADSB	ACADSB	core_mito_protein	HGNC:91	ENSG00000196177	chr10	protein_coding	Matrix	ACADSB	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ACADVL	ACADVL	core_mito_protein	HGNC:92	ENSG00000072778	chr17	protein_coding	MIM	ACADVL	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ACAT1	ACAT1	core_mito_protein	HGNC:93	ENSG00000075239	chr11	protein_coding	Matrix	ACAT1	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ACCS	ACCS	core_mito_protein	HGNC:23989	ENSG00000110455	chr11	protein_coding	unknown	ACCS	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ACLY	ACLY	core_mito_protein	HGNC:115	ENSG00000131473	chr17	protein_coding	Matrix	ACLY	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ACO2	ACO2	core_mito_protein	HGNC:118	ENSG00000100412	chr22	protein_coding	Matrix	ACO2	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ACOD1	ACOD1	core_mito_protein	HGNC:33904	ENSG00000102794	chr13	protein_coding	Matrix	ACOD1;CAD	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ACOT11	ACOT11	core_mito_protein	HGNC:18156	ENSG00000162390	chr1	protein_coding	Matrix	ACOT11	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ACOT13	ACOT13	core_mito_protein	HGNC:20999	ENSG00000112304	chr6	protein_coding	Matrix	ACOT13	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ACOT2	ACOT2	core_mito_protein	HGNC:18431	ENSG00000119673	chr14	protein_coding	Matrix	ACOT2	TRUE	TRUE
mitochondrial_reference_inventory_v1	astrocytes	ACOT7	ACOT7	core_mito_protein	HGNC:24157	ENSG00000097021	chr1	protein_coding	Matrix	ACOT7	TRUE	TRUE
