schema_version	route_id	gene	ensembl_gene_id	trait_id	qtl_source_id	qtl_modality	qtl_context	context_match_level	sample_overlap_state	qtl_measurement_state	qtl_signal_state	full_regional_qtl_available	compatible_model_or_ld_available	reason
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_ptau181__NG00184.v1__pQTL__brain_regions	APOE	ENSG00000130203	csf_ptau181	NG00184.v1	pQTL	brain_regions	bulk_brain_fallback	known_ROSMAP_and_other_cohort_overlap	measured_candidate_trait	no_source_significant_cis_signal	FALSE	FALSE	NG00184_APOE_measured_in_MSBB,ROSMAP_with_finemap_rows=22_but_hmt_significant_rows=0_and_all_released_APOE_rows_are_is_hmt_signif_false
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_ptau181__NG00184.v1__sQTL__Astrocytes	APOE	ENSG00000130203	csf_ptau181	NG00184.v1	sQTL	Astrocytes	exact_lineage_or_bulk_per_fileset	known_ROSMAP_and_other_cohort_overlap	measured_candidate_trait	source_significant_cis_signal	FALSE	FALSE	NG00184_APOE_signal_present_hmt_rows=189_finemap_rows=245;released_finemapping_contains_PIP_and_credible_set_membership_but_not_a_complete_multisignal_model_or_ancestry_matched_LD_required_for_primary_colocalization
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_ptau181__NG00184.v1__snuc-eQTL__Astrocytes	APOE	ENSG00000130203	csf_ptau181	NG00184.v1	snuc-eQTL	Astrocytes	exact_or_lineage	known_ROSMAP_and_other_cohort_overlap	measured_candidate_trait	no_source_significant_cis_signal	FALSE	FALSE	NG00184_APOE_measured_in_ROSMAP_CUIMC1_2_MIT,ROSMAP_MIT_with_finemap_rows=8_but_hmt_significant_rows=0_and_all_released_APOE_rows_are_is_hmt_signif_false
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_ptau181__PsychAD_snRNA_eQTL__eQTL__Astrocytes	APOE	ENSG00000130203	csf_ptau181	PsychAD_snRNA_eQTL	eQTL	Astrocytes	exact_or_lineage	known_overlap_quantified	resource_exists_controlled_or_request_access	not_assessable	FALSE	FALSE	full_candidate_statistics_not_publicly_downloadable_and_ROSMAP_overlap_prevents_independent_validation
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_ptau181__scMetaBrain_2026__eQTL__Astrocytes	APOE	ENSG00000130203	csf_ptau181	scMetaBrain_2026	eQTL	Astrocytes	exact_or_lineage	possible_overlap	published_resource_no_candidate_complete_model_imported	not_assessable	FALSE	FALSE	candidate_level_complete_statistics_and_compatible_released_model_not_available_in_public_local_inventory
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_total_tau__EQTL_Catalogue_r7__eQTL__Astrocytes	APOE	ENSG00000130203	csf_total_tau	EQTL_Catalogue_r7	eQTL	Astrocytes	registered_exact_lineage_or_bulk	source_specific	measured_candidate_trait	source_significant_cis_signal	TRUE	FALSE	single_signal_sensitivity_completed_but_primary_multisignal_route_lacks_released_QTL_model_or_QTL_ancestry_matched_LD
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_total_tau__EQTL_Catalogue_r7__sQTL__Astrocytes	APOE	ENSG00000130203	csf_total_tau	EQTL_Catalogue_r7	sQTL	Astrocytes	registered_exact_lineage_or_bulk	source_specific	measurement_unresolved	not_assessable	FALSE	FALSE	target_gene_splicing_event_absent_from_conditionally_detected_release_and_measurement_status_unresolved
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_total_tau__NG00130.v2__pQTL__CSF	APOE	ENSG00000130203	csf_total_tau	NG00130.v2	pQTL	CSF	gene_level_csf_protein	known_overlap_unquantified	measured_candidate_trait	source_significant_cis_signal	TRUE	FALSE	single_signal_sensitivity_completed_but_primary_multisignal_route_lacks_released_QTL_model_or_QTL_ancestry_matched_LD
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_total_tau__NG00184.v1__eQTL__Astrocytes	APOE	ENSG00000130203	csf_total_tau	NG00184.v1	eQTL	Astrocytes	exact_lineage_or_bulk_per_fileset	known_ROSMAP_and_other_cohort_overlap	measured_candidate_trait	no_source_significant_cis_signal	FALSE	FALSE	NG00184_APOE_measured_in_Knight-ADRC,MSBB,ROSMAP_with_finemap_rows=44_but_hmt_significant_rows=0_and_all_released_APOE_rows_are_is_hmt_signif_false
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_total_tau__NG00184.v1__pQTL__brain_regions	APOE	ENSG00000130203	csf_total_tau	NG00184.v1	pQTL	brain_regions	bulk_brain_fallback	known_ROSMAP_and_other_cohort_overlap	measured_candidate_trait	no_source_significant_cis_signal	FALSE	FALSE	NG00184_APOE_measured_in_MSBB,ROSMAP_with_finemap_rows=22_but_hmt_significant_rows=0_and_all_released_APOE_rows_are_is_hmt_signif_false
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_total_tau__NG00184.v1__sQTL__Astrocytes	APOE	ENSG00000130203	csf_total_tau	NG00184.v1	sQTL	Astrocytes	exact_lineage_or_bulk_per_fileset	known_ROSMAP_and_other_cohort_overlap	measured_candidate_trait	source_significant_cis_signal	FALSE	FALSE	NG00184_APOE_signal_present_hmt_rows=189_finemap_rows=245;released_finemapping_contains_PIP_and_credible_set_membership_but_not_a_complete_multisignal_model_or_ancestry_matched_LD_required_for_primary_colocalization
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_total_tau__NG00184.v1__snuc-eQTL__Astrocytes	APOE	ENSG00000130203	csf_total_tau	NG00184.v1	snuc-eQTL	Astrocytes	exact_or_lineage	known_ROSMAP_and_other_cohort_overlap	measured_candidate_trait	no_source_significant_cis_signal	FALSE	FALSE	NG00184_APOE_measured_in_ROSMAP_CUIMC1_2_MIT,ROSMAP_MIT_with_finemap_rows=8_but_hmt_significant_rows=0_and_all_released_APOE_rows_are_is_hmt_signif_false
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_total_tau__PsychAD_snRNA_eQTL__eQTL__Astrocytes	APOE	ENSG00000130203	csf_total_tau	PsychAD_snRNA_eQTL	eQTL	Astrocytes	exact_or_lineage	known_overlap_quantified	resource_exists_controlled_or_request_access	not_assessable	FALSE	FALSE	full_candidate_statistics_not_publicly_downloadable_and_ROSMAP_overlap_prevents_independent_validation
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_total_tau__scMetaBrain_2026__eQTL__Astrocytes	APOE	ENSG00000130203	csf_total_tau	scMetaBrain_2026	eQTL	Astrocytes	exact_or_lineage	possible_overlap	published_resource_no_candidate_complete_model_imported	not_assessable	FALSE	FALSE	candidate_level_complete_statistics_and_compatible_released_model_not_available_in_public_local_inventory
