schema_version	route_id	gene	trait_id	gwas_source	qtl_source	phase18_vs_gwas	phase18_vs_qtl	gwas_vs_qtl	independent_validation_permitted	interpretation
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_abeta42__EQTL_Catalogue_r7__eQTL__Astrocytes	APOE	csf_abeta42	GCST90726396	EQTL_Catalogue_r7	possible_overlap_ROS_MAP_requires_cohort_list_audit	source_specific	source_specific	FALSE	mechanism_or_triangulation_only
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_abeta42__EQTL_Catalogue_r7__sQTL__Astrocytes	APOE	csf_abeta42	GCST90726396	EQTL_Catalogue_r7	possible_overlap_ROS_MAP_requires_cohort_list_audit	source_specific	source_specific	FALSE	mechanism_or_triangulation_only
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_abeta42__NG00130.v2__pQTL__CSF	APOE	csf_abeta42	GCST90726396	NG00130.v2	possible_overlap_ROS_MAP_requires_cohort_list_audit	known_overlap_unquantified	known_overlap_unquantified	FALSE	mechanism_or_triangulation_only
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_abeta42__NG00184.v1__eQTL__Astrocytes	APOE	csf_abeta42	GCST90726396	NG00184.v1	possible_overlap_ROS_MAP_requires_cohort_list_audit	known_ROSMAP_and_other_cohort_overlap	known_ROSMAP_and_other_cohort_overlap	FALSE	mechanism_or_triangulation_only
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_abeta42__NG00184.v1__pQTL__brain_regions	APOE	csf_abeta42	GCST90726396	NG00184.v1	possible_overlap_ROS_MAP_requires_cohort_list_audit	known_ROSMAP_and_other_cohort_overlap	known_ROSMAP_and_other_cohort_overlap	FALSE	mechanism_or_triangulation_only
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_abeta42__NG00184.v1__sQTL__Astrocytes	APOE	csf_abeta42	GCST90726396	NG00184.v1	possible_overlap_ROS_MAP_requires_cohort_list_audit	known_ROSMAP_and_other_cohort_overlap	known_ROSMAP_and_other_cohort_overlap	FALSE	mechanism_or_triangulation_only
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_abeta42__NG00184.v1__snuc-eQTL__Astrocytes	APOE	csf_abeta42	GCST90726396	NG00184.v1	possible_overlap_ROS_MAP_requires_cohort_list_audit	known_ROSMAP_and_other_cohort_overlap	known_ROSMAP_and_other_cohort_overlap	FALSE	mechanism_or_triangulation_only
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_abeta42__PsychAD_snRNA_eQTL__eQTL__Astrocytes	APOE	csf_abeta42	GCST90726396	PsychAD_snRNA_eQTL	possible_overlap_ROS_MAP_requires_cohort_list_audit	known_overlap_quantified	known_overlap_quantified	FALSE	mechanism_or_triangulation_only
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_abeta42__scMetaBrain_2026__eQTL__Astrocytes	APOE	csf_abeta42	GCST90726396	scMetaBrain_2026	possible_overlap_ROS_MAP_requires_cohort_list_audit	possible_overlap	possible_overlap	FALSE	mechanism_or_triangulation_only
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_ptau181__EQTL_Catalogue_r7__eQTL__Astrocytes	APOE	csf_ptau181	GCST90726398	EQTL_Catalogue_r7	possible_overlap_ROS_MAP_requires_cohort_list_audit	source_specific	source_specific	FALSE	mechanism_or_triangulation_only
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_ptau181__EQTL_Catalogue_r7__sQTL__Astrocytes	APOE	csf_ptau181	GCST90726398	EQTL_Catalogue_r7	possible_overlap_ROS_MAP_requires_cohort_list_audit	source_specific	source_specific	FALSE	mechanism_or_triangulation_only
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_ptau181__NG00130.v2__pQTL__CSF	APOE	csf_ptau181	GCST90726398	NG00130.v2	possible_overlap_ROS_MAP_requires_cohort_list_audit	known_overlap_unquantified	known_overlap_unquantified	FALSE	mechanism_or_triangulation_only
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_ptau181__NG00184.v1__eQTL__Astrocytes	APOE	csf_ptau181	GCST90726398	NG00184.v1	possible_overlap_ROS_MAP_requires_cohort_list_audit	known_ROSMAP_and_other_cohort_overlap	known_ROSMAP_and_other_cohort_overlap	FALSE	mechanism_or_triangulation_only
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_ptau181__NG00184.v1__pQTL__brain_regions	APOE	csf_ptau181	GCST90726398	NG00184.v1	possible_overlap_ROS_MAP_requires_cohort_list_audit	known_ROSMAP_and_other_cohort_overlap	known_ROSMAP_and_other_cohort_overlap	FALSE	mechanism_or_triangulation_only
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_ptau181__NG00184.v1__sQTL__Astrocytes	APOE	csf_ptau181	GCST90726398	NG00184.v1	possible_overlap_ROS_MAP_requires_cohort_list_audit	known_ROSMAP_and_other_cohort_overlap	known_ROSMAP_and_other_cohort_overlap	FALSE	mechanism_or_triangulation_only
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_ptau181__NG00184.v1__snuc-eQTL__Astrocytes	APOE	csf_ptau181	GCST90726398	NG00184.v1	possible_overlap_ROS_MAP_requires_cohort_list_audit	known_ROSMAP_and_other_cohort_overlap	known_ROSMAP_and_other_cohort_overlap	FALSE	mechanism_or_triangulation_only
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_ptau181__PsychAD_snRNA_eQTL__eQTL__Astrocytes	APOE	csf_ptau181	GCST90726398	PsychAD_snRNA_eQTL	possible_overlap_ROS_MAP_requires_cohort_list_audit	known_overlap_quantified	known_overlap_quantified	FALSE	mechanism_or_triangulation_only
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_ptau181__scMetaBrain_2026__eQTL__Astrocytes	APOE	csf_ptau181	GCST90726398	scMetaBrain_2026	possible_overlap_ROS_MAP_requires_cohort_list_audit	possible_overlap	possible_overlap	FALSE	mechanism_or_triangulation_only
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_total_tau__EQTL_Catalogue_r7__eQTL__Astrocytes	APOE	csf_total_tau	GCST90726397	EQTL_Catalogue_r7	possible_overlap_ROS_MAP_requires_cohort_list_audit	source_specific	source_specific	FALSE	mechanism_or_triangulation_only
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_total_tau__EQTL_Catalogue_r7__sQTL__Astrocytes	APOE	csf_total_tau	GCST90726397	EQTL_Catalogue_r7	possible_overlap_ROS_MAP_requires_cohort_list_audit	source_specific	source_specific	FALSE	mechanism_or_triangulation_only
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_total_tau__NG00130.v2__pQTL__CSF	APOE	csf_total_tau	GCST90726397	NG00130.v2	possible_overlap_ROS_MAP_requires_cohort_list_audit	known_overlap_unquantified	known_overlap_unquantified	FALSE	mechanism_or_triangulation_only
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_total_tau__NG00184.v1__eQTL__Astrocytes	APOE	csf_total_tau	GCST90726397	NG00184.v1	possible_overlap_ROS_MAP_requires_cohort_list_audit	known_ROSMAP_and_other_cohort_overlap	known_ROSMAP_and_other_cohort_overlap	FALSE	mechanism_or_triangulation_only
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_total_tau__NG00184.v1__pQTL__brain_regions	APOE	csf_total_tau	GCST90726397	NG00184.v1	possible_overlap_ROS_MAP_requires_cohort_list_audit	known_ROSMAP_and_other_cohort_overlap	known_ROSMAP_and_other_cohort_overlap	FALSE	mechanism_or_triangulation_only
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_total_tau__NG00184.v1__sQTL__Astrocytes	APOE	csf_total_tau	GCST90726397	NG00184.v1	possible_overlap_ROS_MAP_requires_cohort_list_audit	known_ROSMAP_and_other_cohort_overlap	known_ROSMAP_and_other_cohort_overlap	FALSE	mechanism_or_triangulation_only
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_total_tau__NG00184.v1__snuc-eQTL__Astrocytes	APOE	csf_total_tau	GCST90726397	NG00184.v1	possible_overlap_ROS_MAP_requires_cohort_list_audit	known_ROSMAP_and_other_cohort_overlap	known_ROSMAP_and_other_cohort_overlap	FALSE	mechanism_or_triangulation_only
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_total_tau__PsychAD_snRNA_eQTL__eQTL__Astrocytes	APOE	csf_total_tau	GCST90726397	PsychAD_snRNA_eQTL	possible_overlap_ROS_MAP_requires_cohort_list_audit	known_overlap_quantified	known_overlap_quantified	FALSE	mechanism_or_triangulation_only
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_total_tau__scMetaBrain_2026__eQTL__Astrocytes	APOE	csf_total_tau	GCST90726397	scMetaBrain_2026	possible_overlap_ROS_MAP_requires_cohort_list_audit	possible_overlap	possible_overlap	FALSE	mechanism_or_triangulation_only
