schema_version	candidate_id	gene	broad_network	case_id	route	status	reason
human_genetic_support_tier1_v1	GS001	ANKRD11	OPCs	non_mt_driver	common_variant	none_found	no direct entry in filtered summary
human_genetic_support_tier1_v1	GS001	ANKRD11	OPCs	non_mt_driver	colocalization	not_assessable	classical H0-H4 absent
human_genetic_support_tier1_v1	GS001	ANKRD11	OPCs	non_mt_driver	rare_variant	not_assessable	full gene burden table absent
human_genetic_support_tier1_v1	GS001	ANKRD11	OPCs	non_mt_driver	mtdna	not_applicable	nuclear gene
human_genetic_support_tier1_v1	GS002	APOE	Astrocytes	non_mt_driver	common_variant	positive	direct candidate entry
human_genetic_support_tier1_v1	GS002	APOE	Astrocytes	non_mt_driver	colocalization	positive_limited	precomputed filtered result; no H0-H4
human_genetic_support_tier1_v1	GS002	APOE	Astrocytes	non_mt_driver	rare_variant	ambiguous_reported	GVC membership without test statistics
human_genetic_support_tier1_v1	GS002	APOE	Astrocytes	non_mt_driver	mtdna	not_applicable	nuclear gene
human_genetic_support_tier1_v1	GS003	ATP6V1F	Inhibitory_neurons	non_mt_driver	common_variant	none_found	no direct entry in filtered summary
human_genetic_support_tier1_v1	GS003	ATP6V1F	Inhibitory_neurons	non_mt_driver	colocalization	not_assessable	classical H0-H4 absent
human_genetic_support_tier1_v1	GS003	ATP6V1F	Inhibitory_neurons	non_mt_driver	rare_variant	not_assessable	full gene burden table absent
human_genetic_support_tier1_v1	GS003	ATP6V1F	Inhibitory_neurons	non_mt_driver	mtdna	not_applicable	nuclear gene
human_genetic_support_tier1_v1	GS004	COX4I1	Astrocytes	mt_driver	common_variant	none_found	no direct entry in filtered summary
human_genetic_support_tier1_v1	GS004	COX4I1	Astrocytes	mt_driver	colocalization	not_assessable	classical H0-H4 absent
human_genetic_support_tier1_v1	GS004	COX4I1	Astrocytes	mt_driver	rare_variant	not_assessable	full gene burden table absent
human_genetic_support_tier1_v1	GS004	COX4I1	Astrocytes	mt_driver	mtdna	not_applicable	nuclear gene
human_genetic_support_tier1_v1	GS005	COX4I1	Excitatory_neurons	mt_driver	common_variant	none_found	no direct entry in filtered summary
human_genetic_support_tier1_v1	GS005	COX4I1	Excitatory_neurons	mt_driver	colocalization	not_assessable	classical H0-H4 absent
human_genetic_support_tier1_v1	GS005	COX4I1	Excitatory_neurons	mt_driver	rare_variant	not_assessable	full gene burden table absent
human_genetic_support_tier1_v1	GS005	COX4I1	Excitatory_neurons	mt_driver	mtdna	not_applicable	nuclear gene
human_genetic_support_tier1_v1	GS006	COX6B1	Excitatory_neurons	mt_driver	common_variant	none_found	no direct entry in filtered summary
