schema_version	check_id	blocking	observed	expected	detail	status
human_genetic_support_tier2_classical_coloc_recovery_v1	baseline_tier1_hashes_unchanged	TRUE	TRUE	TRUE	Tier 1 artifact hashes reproduced	pass
human_genetic_support_tier2_classical_coloc_recovery_v1	baseline_tier2_hashes_unchanged	TRUE	TRUE	TRUE	Tier 2 artifact hashes reproduced	pass
human_genetic_support_tier2_classical_coloc_recovery_v1	route_count_54	TRUE	54	54	Frozen nuclear eQTL/sQTL routes	pass
human_genetic_support_tier2_classical_coloc_recovery_v1	terminal_route_count_54	TRUE	54	54	Every route has one terminal decision	pass
human_genetic_support_tier2_classical_coloc_recovery_v1	evidence_summary_count_47	TRUE	47	47	Cumulative candidate-context matrix	pass
human_genetic_support_tier2_classical_coloc_recovery_v1	dataset_selection_frozen	TRUE	TRUE	TRUE	Source choices frozen before result	pass
human_genetic_support_tier2_classical_coloc_recovery_v1	gwas_case_fraction	TRUE	0.14109955905595642	0.14109955905595642	Bellenguez case-control fraction retained	pass
human_genetic_support_tier2_classical_coloc_recovery_v1	source_checks_pass	TRUE	TRUE	TRUE	All acquired sources validated	pass
human_genetic_support_tier2_classical_coloc_recovery_v1	all_routes_permitted_terminal_state	TRUE	TRUE	TRUE	Terminal vocabulary enforced	pass
human_genetic_support_tier2_classical_coloc_recovery_v1	execution_backend_direct	TRUE	direct	direct	Actually ran on local direct backend	pass
human_genetic_support_tier2_classical_coloc_recovery_v1	full_phase19_complete_false	TRUE	FALSE	FALSE	Remaining Phase 19 scopes stay separate	pass
human_genetic_support_tier2_classical_coloc_recovery_v1	declared_file_count_26	TRUE	26	26	Output contract is frozen	pass
