schema_version	record_type	gene	ensembl_gene_id	window_start	window_end	regional_lead_variant	regional_min_p_source	regional_min_p_display	minus_log10_p	minus_log10_display	cutoff_p	cutoff_minus_log10	below_cutoff	cutoff_class	style_key	source_accession	source_table	display_group	sort_minus_log10_p	display_order
genetic_support_ad_nearby_pvalues_v1	gene_region	COX4I1	ENSG00000131143	84798633	86807068	rs16941239	2.929e-06	2.929 × 10⁻⁶	5.533280628318401	5.53	5e-08	7.301029995663981	False	At or above conservative cutoff	at_or_above_cutoff_open_gray_circle	GCST90027158	recovery_regional_gwas_summary.tsv	fifteen_values_at_or_above_cutoff	5.533280628318401	1
genetic_support_ad_nearby_pvalues_v1	gene_region	LAPTM4A	ENSG00000068697	19032650	21051628	rs10171699	5.651e-06	5.651 × 10⁻⁶	5.247874692702101	5.25	5e-08	7.301029995663981	False	At or above conservative cutoff	at_or_above_cutoff_open_gray_circle	GCST90027158	recovery_regional_gwas_summary.tsv	fifteen_values_at_or_above_cutoff	5.247874692702101	2
genetic_support_ad_nearby_pvalues_v1	gene_region	FTL	ENSG00000087086	47965309	49966879	rs8103552	5.711e-06	5.711 × 10⁻⁶	5.2432878398352285	5.24	5e-08	7.301029995663981	False	At or above conservative cutoff	at_or_above_cutoff_open_gray_circle	GCST90027158	recovery_regional_gwas_summary.tsv	fifteen_values_at_or_above_cutoff	5.2432878398352285	3
genetic_support_ad_nearby_pvalues_v1	gene_region	RPL11	ENSG00000142676	22691742	24696835	rs6695656	8.157e-06	8.157 × 10⁻⁶	5.088469537692838	5.09	5e-08	7.301029995663981	False	At or above conservative cutoff	at_or_above_cutoff_open_gray_circle	GCST90027158	recovery_regional_gwas_summary.tsv	fifteen_values_at_or_above_cutoff	5.088469537692838	4
genetic_support_ad_nearby_pvalues_v1	gene_region	RPL38	ENSG00000172809	73203582	75210655	rs62064069	1.05e-05	1.05 × 10⁻⁵	4.978810700930062	4.98	5e-08	7.301029995663981	False	At or above conservative cutoff	at_or_above_cutoff_open_gray_circle	GCST90027158	recovery_regional_gwas_summary.tsv	fifteen_values_at_or_above_cutoff	4.978810700930062	5
genetic_support_ad_nearby_pvalues_v1	gene_region	NCOA1	ENSG00000084676	23491254	25770702	rs185123021	1.213e-05	1.213 × 10⁻⁵	4.916139199133427	4.92	5e-08	7.301029995663981	False	At or above conservative cutoff	at_or_above_cutoff_open_gray_circle	GCST90027158	recovery_regional_gwas_summary.tsv	fifteen_values_at_or_above_cutoff	4.916139199133427	6
genetic_support_ad_nearby_pvalues_v1	gene_region	UQCR10	ENSG00000184076	28767369	30770413	rs145834560	1.248e-05	1.248 × 10⁻⁵	4.903785414653595	4.90	5e-08	7.301029995663981	False	At or above conservative cutoff	at_or_above_cutoff_open_gray_circle	GCST90027158	recovery_regional_gwas_summary.tsv	fifteen_values_at_or_above_cutoff	4.903785414653595	7
genetic_support_ad_nearby_pvalues_v1	gene_region	RPL15	ENSG00000174748	22916591	24924374	rs545795382	2.677e-05	2.677 × 10⁻⁵	4.572351628813068	4.57	5e-08	7.301029995663981	False	At or above conservative cutoff	at_or_above_cutoff_open_gray_circle	GCST90027158	recovery_regional_gwas_summary.tsv	fifteen_values_at_or_above_cutoff	4.572351628813068	8
genetic_support_ad_nearby_pvalues_v1	gene_region	COX6B1	ENSG00000126267	34648323	36658782	rs897764	3.932e-05	3.932 × 10⁻⁵	4.405386490839902	4.41	5e-08	7.301029995663981	False	At or above conservative cutoff	at_or_above_cutoff_open_gray_circle	GCST90027158	recovery_regional_gwas_summary.tsv	fifteen_values_at_or_above_cutoff	4.405386490839902	9
genetic_support_ad_nearby_pvalues_v1	gene_region	ATP6V1F	ENSG00000128524	127862856	129865847	rs192046862	4e-05	4 × 10⁻⁵	4.3979400086720375	4.40	5e-08	7.301029995663981	False	At or above conservative cutoff	at_or_above_cutoff_open_gray_circle	GCST90027158	recovery_regional_gwas_summary.tsv	fifteen_values_at_or_above_cutoff	4.3979400086720375	10
genetic_support_ad_nearby_pvalues_v1	gene_region	DYNLT1	ENSG00000146425	157636474	159644743	rs149553014	6.079e-05	6.079 × 10⁻⁵	4.2161678566155585	4.22	5e-08	7.301029995663981	False	At or above conservative cutoff	at_or_above_cutoff_open_gray_circle	GCST90027158	recovery_regional_gwas_summary.tsv	fifteen_values_at_or_above_cutoff	4.2161678566155585	11
genetic_support_ad_nearby_pvalues_v1	gene_region	SELENOW	ENSG00000178980	46778677	48784686	rs17206581	6.41e-05	6.41 × 10⁻⁵	4.193141970481182	4.19	5e-08	7.301029995663981	False	At or above conservative cutoff	at_or_above_cutoff_open_gray_circle	GCST90027158	recovery_regional_gwas_summary.tsv	fifteen_values_at_or_above_cutoff	4.193141970481182	12
genetic_support_ad_nearby_pvalues_v1	gene_region	LAMTOR5	ENSG00000134248	109401249	111407942	rs79406748	6.605e-05	6.605 × 10⁻⁵	4.180127178049454	4.18	5e-08	7.301029995663981	False	At or above conservative cutoff	at_or_above_cutoff_open_gray_circle	GCST90027158	recovery_regional_gwas_summary.tsv	fifteen_values_at_or_above_cutoff	4.180127178049454	13
genetic_support_ad_nearby_pvalues_v1	gene_region	RPS13	ENSG00000110700	16074388	18077715	rs11605342	8.997e-05	8.997 × 10⁻⁵	4.045902279520811	4.05	5e-08	7.301029995663981	False	At or above conservative cutoff	at_or_above_cutoff_open_gray_circle	GCST90027158	recovery_regional_gwas_summary.tsv	fifteen_values_at_or_above_cutoff	4.045902279520811	14
genetic_support_ad_nearby_pvalues_v1	gene_region	RPLP1	ENSG00000137818	68452814	70456205	rs139314934	0.0002931	2.931 × 10⁻⁴	3.5329841815615644	3.53	5e-08	7.301029995663981	False	At or above conservative cutoff	at_or_above_cutoff_open_gray_circle	GCST90027158	recovery_regional_gwas_summary.tsv	fifteen_values_at_or_above_cutoff	3.5329841815615644	15
genetic_support_ad_nearby_pvalues_v1	gene_region	APOE	ENSG00000130203	43905791	45909393	rs747519137	0	underflow* (source stored 0)	NA	beyond range*	5e-08	7.301029995663981	True	Below conservative cutoff	below_cutoff_filled_blue_diamond	GCST90027158	recovery_regional_gwas_summary.tsv	four_values_below_cutoff	inf	16
genetic_support_ad_nearby_pvalues_v1	gene_region	RPS15	ENSG00000115268	438358	2440495	rs12151021	4.089e-30	4.089 × 10⁻³⁰	29.388382889445666	29.39	5e-08	7.301029995663981	True	Below conservative cutoff	below_cutoff_filled_blue_diamond	GCST90027158	recovery_regional_gwas_summary.tsv	four_values_below_cutoff	29.388382889445666	17
genetic_support_ad_nearby_pvalues_v1	gene_region	COX7C	ENSG00000127184	85617928	87620962	rs62375397	8.579e-14	8.579 × 10⁻¹⁴	13.06656333217372	13.07	5e-08	7.301029995663981	True	Below conservative cutoff	below_cutoff_filled_blue_diamond	GCST90027158	recovery_regional_gwas_summary.tsv	four_values_below_cutoff	13.06656333217372	18
genetic_support_ad_nearby_pvalues_v1	gene_region	ANKRD11	ENSG00000167522	88267630	90490561	rs56407236	1.283e-11	1.283 × 10⁻¹¹	10.891773343625072	10.89	5e-08	7.301029995663981	True	Below conservative cutoff	below_cutoff_filled_blue_diamond	GCST90027158	recovery_regional_gwas_summary.tsv	four_values_below_cutoff	10.891773343625072	19
