schema_version	rds_id	manifest_row	contrast_id	cell_type_high_resolution	contrast_family	contrast_name	eligibility_status	terminal_status	message
mito_fraction_contrast_status_v1	excitatory_set3	113	excitatory_set3::Exc.L5.ET::AD_vs_NCI__Female__e2	Exc L5 ET	AD_vs_NCI	AD_vs_NCI__Female__e2	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:AD__Female__e2,NCI__Female__e2
mito_fraction_contrast_status_v1	excitatory_set3	114	excitatory_set3::Exc.L5.ET::AD_vs_NCI__Female__e33	Exc L5 ET	AD_vs_NCI	AD_vs_NCI__Female__e33	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:AD__Female__e33,NCI__Female__e33
mito_fraction_contrast_status_v1	excitatory_set3	115	excitatory_set3::Exc.L5.ET::AD_vs_NCI__Female__e4	Exc L5 ET	AD_vs_NCI	AD_vs_NCI__Female__e4	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:AD__Female__e4,NCI__Female__e4
mito_fraction_contrast_status_v1	excitatory_set3	116	excitatory_set3::Exc.L5.ET::AD_vs_NCI__Male__e2	Exc L5 ET	AD_vs_NCI	AD_vs_NCI__Male__e2	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:AD__Male__e2,NCI__Male__e2
mito_fraction_contrast_status_v1	excitatory_set3	117	excitatory_set3::Exc.L5.ET::AD_vs_NCI__Male__e33	Exc L5 ET	AD_vs_NCI	AD_vs_NCI__Male__e33	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:AD__Male__e33,NCI__Male__e33
mito_fraction_contrast_status_v1	excitatory_set3	118	excitatory_set3::Exc.L5.ET::AD_vs_NCI__Male__e4	Exc L5 ET	AD_vs_NCI	AD_vs_NCI__Male__e4	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:AD__Male__e4,NCI__Male__e4
mito_fraction_contrast_status_v1	excitatory_set3	119	excitatory_set3::Exc.L5.ET::AD_effect_Female_minus_Male__e2	Exc L5 ET	sex_interaction	AD_effect_Female_minus_Male__e2	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:AD__Female__e2,NCI__Female__e2,AD__Male__e2,NCI__Male__e2
mito_fraction_contrast_status_v1	excitatory_set3	120	excitatory_set3::Exc.L5.ET::AD_effect_Female_minus_Male__e33	Exc L5 ET	sex_interaction	AD_effect_Female_minus_Male__e33	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:AD__Female__e33,NCI__Female__e33,AD__Male__e33,NCI__Male__e33
mito_fraction_contrast_status_v1	excitatory_set3	121	excitatory_set3::Exc.L5.ET::AD_effect_Female_minus_Male__e4	Exc L5 ET	sex_interaction	AD_effect_Female_minus_Male__e4	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:AD__Female__e4,NCI__Female__e4,AD__Male__e4,NCI__Male__e4
mito_fraction_contrast_status_v1	excitatory_set3	122	excitatory_set3::Exc.L5.ET::AD_effect_e2_minus_e33__Female	Exc L5 ET	apoe_interaction	AD_effect_e2_minus_e33__Female	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:AD__Female__e2,NCI__Female__e2,AD__Female__e33,NCI__Female__e33
mito_fraction_contrast_status_v1	excitatory_set3	123	excitatory_set3::Exc.L5.ET::AD_effect_e4_minus_e33__Female	Exc L5 ET	apoe_interaction	AD_effect_e4_minus_e33__Female	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:AD__Female__e4,NCI__Female__e4,AD__Female__e33,NCI__Female__e33
mito_fraction_contrast_status_v1	excitatory_set3	124	excitatory_set3::Exc.L5.ET::AD_effect_e2_minus_e33__Male	Exc L5 ET	apoe_interaction	AD_effect_e2_minus_e33__Male	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:AD__Male__e2,NCI__Male__e2,AD__Male__e33,NCI__Male__e33
mito_fraction_contrast_status_v1	excitatory_set3	125	excitatory_set3::Exc.L5.ET::AD_effect_e4_minus_e33__Male	Exc L5 ET	apoe_interaction	AD_effect_e4_minus_e33__Male	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:AD__Male__e4,NCI__Male__e4,AD__Male__e33,NCI__Male__e33
mito_fraction_contrast_status_v1	excitatory_set3	126	excitatory_set3::Exc.L5.ET::AD_effect_heterogeneity_across_sex_APOE	Exc L5 ET	global_heterogeneity	AD_effect_heterogeneity_across_sex_APOE	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:NCI__Female__e2,AD__Female__e2,NCI__Male__e2,AD__Male__e2,NCI__Female__e33,AD__Female__e33,NCI__Male__e33,AD__Male__e33,NCI__Female__e4,AD__Female__e4,NCI__Male__e4,AD__Male__e4
mito_fraction_contrast_status_v1	excitatory_set3	127	excitatory_set3::Exc.L5.6.RORB.LINC02196::AD_vs_NCI__Female__e2	Exc L5-6 RORB LINC02196	AD_vs_NCI	AD_vs_NCI__Female__e2	eligible	validated_complete	
mito_fraction_contrast_status_v1	excitatory_set3	128	excitatory_set3::Exc.L5.6.RORB.LINC02196::AD_vs_NCI__Female__e33	Exc L5-6 RORB LINC02196	AD_vs_NCI	AD_vs_NCI__Female__e33	eligible	validated_complete	
mito_fraction_contrast_status_v1	excitatory_set3	129	excitatory_set3::Exc.L5.6.RORB.LINC02196::AD_vs_NCI__Female__e4	Exc L5-6 RORB LINC02196	AD_vs_NCI	AD_vs_NCI__Female__e4	eligible	validated_complete	
mito_fraction_contrast_status_v1	excitatory_set3	130	excitatory_set3::Exc.L5.6.RORB.LINC02196::AD_vs_NCI__Male__e2	Exc L5-6 RORB LINC02196	AD_vs_NCI	AD_vs_NCI__Male__e2	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:NCI__Male__e2
mito_fraction_contrast_status_v1	excitatory_set3	131	excitatory_set3::Exc.L5.6.RORB.LINC02196::AD_vs_NCI__Male__e33	Exc L5-6 RORB LINC02196	AD_vs_NCI	AD_vs_NCI__Male__e33	eligible	validated_complete	
mito_fraction_contrast_status_v1	excitatory_set3	132	excitatory_set3::Exc.L5.6.RORB.LINC02196::AD_vs_NCI__Male__e4	Exc L5-6 RORB LINC02196	AD_vs_NCI	AD_vs_NCI__Male__e4	eligible	validated_complete	
mito_fraction_contrast_status_v1	excitatory_set3	133	excitatory_set3::Exc.L5.6.RORB.LINC02196::AD_effect_Female_minus_Male__e2	Exc L5-6 RORB LINC02196	sex_interaction	AD_effect_Female_minus_Male__e2	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:NCI__Male__e2
mito_fraction_contrast_status_v1	excitatory_set3	134	excitatory_set3::Exc.L5.6.RORB.LINC02196::AD_effect_Female_minus_Male__e33	Exc L5-6 RORB LINC02196	sex_interaction	AD_effect_Female_minus_Male__e33	eligible	validated_complete	
mito_fraction_contrast_status_v1	excitatory_set3	135	excitatory_set3::Exc.L5.6.RORB.LINC02196::AD_effect_Female_minus_Male__e4	Exc L5-6 RORB LINC02196	sex_interaction	AD_effect_Female_minus_Male__e4	eligible	validated_complete	
mito_fraction_contrast_status_v1	excitatory_set3	136	excitatory_set3::Exc.L5.6.RORB.LINC02196::AD_effect_e2_minus_e33__Female	Exc L5-6 RORB LINC02196	apoe_interaction	AD_effect_e2_minus_e33__Female	eligible	validated_complete	
mito_fraction_contrast_status_v1	excitatory_set3	137	excitatory_set3::Exc.L5.6.RORB.LINC02196::AD_effect_e4_minus_e33__Female	Exc L5-6 RORB LINC02196	apoe_interaction	AD_effect_e4_minus_e33__Female	eligible	validated_complete	
mito_fraction_contrast_status_v1	excitatory_set3	138	excitatory_set3::Exc.L5.6.RORB.LINC02196::AD_effect_e2_minus_e33__Male	Exc L5-6 RORB LINC02196	apoe_interaction	AD_effect_e2_minus_e33__Male	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:NCI__Male__e2
mito_fraction_contrast_status_v1	excitatory_set3	139	excitatory_set3::Exc.L5.6.RORB.LINC02196::AD_effect_e4_minus_e33__Male	Exc L5-6 RORB LINC02196	apoe_interaction	AD_effect_e4_minus_e33__Male	eligible	validated_complete	
mito_fraction_contrast_status_v1	excitatory_set3	140	excitatory_set3::Exc.L5.6.RORB.LINC02196::AD_effect_heterogeneity_across_sex_APOE	Exc L5-6 RORB LINC02196	global_heterogeneity	AD_effect_heterogeneity_across_sex_APOE	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:NCI__Male__e2
mito_fraction_contrast_status_v1	excitatory_set3	141	excitatory_set3::Exc.L5.6.IT.Car3::AD_vs_NCI__Female__e2	Exc L5/6 IT Car3	AD_vs_NCI	AD_vs_NCI__Female__e2	eligible	validated_complete	
mito_fraction_contrast_status_v1	excitatory_set3	142	excitatory_set3::Exc.L5.6.IT.Car3::AD_vs_NCI__Female__e33	Exc L5/6 IT Car3	AD_vs_NCI	AD_vs_NCI__Female__e33	eligible	validated_complete	
mito_fraction_contrast_status_v1	excitatory_set3	143	excitatory_set3::Exc.L5.6.IT.Car3::AD_vs_NCI__Female__e4	Exc L5/6 IT Car3	AD_vs_NCI	AD_vs_NCI__Female__e4	eligible	validated_complete	
mito_fraction_contrast_status_v1	excitatory_set3	144	excitatory_set3::Exc.L5.6.IT.Car3::AD_vs_NCI__Male__e2	Exc L5/6 IT Car3	AD_vs_NCI	AD_vs_NCI__Male__e2	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:NCI__Male__e2
mito_fraction_contrast_status_v1	excitatory_set3	145	excitatory_set3::Exc.L5.6.IT.Car3::AD_vs_NCI__Male__e33	Exc L5/6 IT Car3	AD_vs_NCI	AD_vs_NCI__Male__e33	eligible	validated_complete	
mito_fraction_contrast_status_v1	excitatory_set3	146	excitatory_set3::Exc.L5.6.IT.Car3::AD_vs_NCI__Male__e4	Exc L5/6 IT Car3	AD_vs_NCI	AD_vs_NCI__Male__e4	eligible	validated_complete	
mito_fraction_contrast_status_v1	excitatory_set3	147	excitatory_set3::Exc.L5.6.IT.Car3::AD_effect_Female_minus_Male__e2	Exc L5/6 IT Car3	sex_interaction	AD_effect_Female_minus_Male__e2	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:NCI__Male__e2
mito_fraction_contrast_status_v1	excitatory_set3	148	excitatory_set3::Exc.L5.6.IT.Car3::AD_effect_Female_minus_Male__e33	Exc L5/6 IT Car3	sex_interaction	AD_effect_Female_minus_Male__e33	eligible	validated_complete	
mito_fraction_contrast_status_v1	excitatory_set3	149	excitatory_set3::Exc.L5.6.IT.Car3::AD_effect_Female_minus_Male__e4	Exc L5/6 IT Car3	sex_interaction	AD_effect_Female_minus_Male__e4	eligible	validated_complete	
mito_fraction_contrast_status_v1	excitatory_set3	150	excitatory_set3::Exc.L5.6.IT.Car3::AD_effect_e2_minus_e33__Female	Exc L5/6 IT Car3	apoe_interaction	AD_effect_e2_minus_e33__Female	eligible	validated_complete	
mito_fraction_contrast_status_v1	excitatory_set3	151	excitatory_set3::Exc.L5.6.IT.Car3::AD_effect_e4_minus_e33__Female	Exc L5/6 IT Car3	apoe_interaction	AD_effect_e4_minus_e33__Female	eligible	validated_complete	
mito_fraction_contrast_status_v1	excitatory_set3	152	excitatory_set3::Exc.L5.6.IT.Car3::AD_effect_e2_minus_e33__Male	Exc L5/6 IT Car3	apoe_interaction	AD_effect_e2_minus_e33__Male	ineligible	ineligible	fewer_than_5_eligible_donors_in_required_group:NCI__Male__e2
mito_fraction_contrast_status_v1	excitatory_set3	153	excitatory_set3::Exc.L5.6.IT.Car3::AD_effect_e4_minus_e33__Male	Exc L5/6 IT Car3	apoe_interaction	AD_effect_e4_minus_e33__Male	eligible	validated_complete	
