schema_version	candidate_id	gene	broad_network	case_id	case_label	tier1_genetic_evidence_grade	tier1_colocalization_status	tier2_regional_coloc_status	tier2_best_eqtl_pp_h4	tier2_best_sqtl_pp_h4	tier2_best_pp_h4	tier2_best_conditional_h4	tier2_method	tier2_context_match_level	tier2_ancestry	tier2_assessability_reason	tier2_coloc_grade_contribution	cumulative_phase19_grade	grade_changed_from_tier1	conflicting_evidence	permitted_interpretation	source_ids
human_genetic_support_tier2_coloc_v1	GS001	ANKRD11	OPCs	non_mt_driver	non-MT driver	none_found	not_reported	not_assessable	NA	NA	NA	NA	open_alternative_source_audit	NA	source_reported	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	none	none_found	FALSE	FALSE	No direct mapping to this gene was found in the registered filtered Tier 1 summary; this is not evidence that genetic support is absent. Public regional GWAS and released QTL fine mapping were audited; classical colocalization remains unassessable without compatible full regional QTL/model/LD inputs. Fine-mapping coverage was not treated as H4.	FunGen-xQTL_public_snapshot
human_genetic_support_tier2_coloc_v1	GS002	APOE	Astrocytes	non_mt_driver	non-MT driver	strong	fallback_brain_context	not_assessable	NA	NA	NA	NA	open_alternative_source_audit	NA	source_reported	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	none	strong	FALSE	FALSE	Direct APOE evidence includes the genome-wide AD fine-mapped coding variant rs429358 (inclusion score 1.0); xQTL/TWAS support is available only in fallback brain contexts. Public regional GWAS and released QTL fine mapping were audited; classical colocalization remains unassessable without compatible full regional QTL/model/LD inputs. Fine-mapping coverage was not treated as H4.	FunGen-xQTL_public_snapshot
human_genetic_support_tier2_coloc_v1	GS003	ATP6V1F	Inhibitory_neurons	non_mt_driver	non-MT driver	none_found	not_reported	not_assessable	NA	NA	NA	NA	open_alternative_source_audit	NA	source_reported	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	none	none_found	FALSE	FALSE	No direct mapping to this gene was found in the registered filtered Tier 1 summary; this is not evidence that genetic support is absent. Public regional GWAS and released QTL fine mapping were audited; classical colocalization remains unassessable without compatible full regional QTL/model/LD inputs. Fine-mapping coverage was not treated as H4.	FunGen-xQTL_public_snapshot
human_genetic_support_tier2_coloc_v1	GS004	COX4I1	Astrocytes	mt_driver	MT driver	none_found	not_reported	not_assessable	NA	NA	NA	NA	open_alternative_source_audit	NA	source_reported	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	none	none_found	FALSE	FALSE	No direct mapping to this gene was found in the registered filtered Tier 1 summary; this is not evidence that genetic support is absent. Public regional GWAS and released QTL fine mapping were audited; classical colocalization remains unassessable without compatible full regional QTL/model/LD inputs. Fine-mapping coverage was not treated as H4.	FunGen-xQTL_public_snapshot
human_genetic_support_tier2_coloc_v1	GS005	COX4I1	Excitatory_neurons	mt_driver	MT driver	none_found	not_reported	not_assessable	NA	NA	NA	NA	open_alternative_source_audit	NA	source_reported	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	none	none_found	FALSE	FALSE	No direct mapping to this gene was found in the registered filtered Tier 1 summary; this is not evidence that genetic support is absent. Public regional GWAS and released QTL fine mapping were audited; classical colocalization remains unassessable without compatible full regional QTL/model/LD inputs. Fine-mapping coverage was not treated as H4.	FunGen-xQTL_public_snapshot
human_genetic_support_tier2_coloc_v1	GS006	COX6B1	Excitatory_neurons	mt_driver	MT driver	none_found	not_reported	not_assessable	NA	NA	NA	NA	open_alternative_source_audit	NA	source_reported	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	none	none_found	FALSE	FALSE	No direct mapping to this gene was found in the registered filtered Tier 1 summary; this is not evidence that genetic support is absent. Public regional GWAS and released QTL fine mapping were audited; classical colocalization remains unassessable without compatible full regional QTL/model/LD inputs. Fine-mapping coverage was not treated as H4.	FunGen-xQTL_public_snapshot
human_genetic_support_tier2_coloc_v1	GS007	COX7C	Astrocytes	mt_driver	MT driver	weak	fallback_bulk_sQTL	not_assessable	NA	NA	NA	NA	open_alternative_source_audit	NA	source_reported	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	none	weak	FALSE	FALSE	COX7C has a filtered bulk sQTL/AD colocalization entry (CL5), but the AD association is sub-genome-wide and the xQTL inclusion score is low. Public regional GWAS and released QTL fine mapping were audited; classical colocalization remains unassessable without compatible full regional QTL/model/LD inputs. Fine-mapping coverage was not treated as H4.	FunGen-xQTL_public_snapshot
human_genetic_support_tier2_coloc_v1	GS008	COX7C	Inhibitory_neurons	mt_driver	MT driver	weak	fallback_bulk_sQTL	not_assessable	NA	NA	NA	NA	open_alternative_source_audit	NA	source_reported	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	none	weak	FALSE	FALSE	COX7C has a filtered bulk sQTL/AD colocalization entry (CL5), but the AD association is sub-genome-wide and the xQTL inclusion score is low. Public regional GWAS and released QTL fine mapping were audited; classical colocalization remains unassessable without compatible full regional QTL/model/LD inputs. Fine-mapping coverage was not treated as H4.	FunGen-xQTL_public_snapshot
human_genetic_support_tier2_coloc_v1	GS009	DYNLT1	Excitatory_neurons	non_mt_driver	non-MT driver	none_found	not_reported	not_assessable	NA	NA	NA	NA	open_alternative_source_audit	NA	source_reported	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	none	none_found	FALSE	FALSE	No direct mapping to this gene was found in the registered filtered Tier 1 summary; this is not evidence that genetic support is absent. Public regional GWAS and released QTL fine mapping were audited; classical colocalization remains unassessable without compatible full regional QTL/model/LD inputs. Fine-mapping coverage was not treated as H4.	FunGen-xQTL_public_snapshot
human_genetic_support_tier2_coloc_v1	GS010	FTL	OPCs	non_mt_driver	non-MT driver	none_found	not_reported	not_assessable	NA	NA	NA	NA	open_alternative_source_audit	NA	source_reported	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent	none	none_found	FALSE	FALSE	No direct mapping to this gene was found in the registered filtered Tier 1 summary; this is not evidence that genetic support is absent. Public regional GWAS and released QTL fine mapping were audited; classical colocalization remains unassessable without compatible full regional QTL/model/LD inputs. Fine-mapping coverage was not treated as H4.	FunGen-xQTL_public_snapshot
