schema_version	trait_id	source_accession	gene_id	gene	chromosome	start	stop	n_snps	z_stat	p_value	phase18_candidate	candidate_threshold	candidate_significant	test_status	method
phase19_endophenotype_gwas_qtl_extension_v1	csf_abeta42	GCST90726396	ENSG00000000419	NA	20	49551404	49575092	23	1.3422	0.089759	FALSE	0.0008771929824561404	FALSE	tested_magma_v1.10	MAGMA_v1.10_SNP-wise_mean_gene_body
phase19_endophenotype_gwas_qtl_extension_v1	csf_abeta42	GCST90726396	ENSG00000000457	NA	1	169818772	169863408	142	0.8977	0.18467	FALSE	0.0008771929824561404	FALSE	tested_magma_v1.10	MAGMA_v1.10_SNP-wise_mean_gene_body
phase19_endophenotype_gwas_qtl_extension_v1	csf_abeta42	GCST90726396	ENSG00000000460	NA	1	169631245	169823221	748	0.51028	0.30493	FALSE	0.0008771929824561404	FALSE	tested_magma_v1.10	MAGMA_v1.10_SNP-wise_mean_gene_body
phase19_endophenotype_gwas_qtl_extension_v1	csf_abeta42	GCST90726396	ENSG00000000938	NA	1	27938575	27961788	39	-0.34288	0.63416	FALSE	0.0008771929824561404	FALSE	tested_magma_v1.10	MAGMA_v1.10_SNP-wise_mean_gene_body
phase19_endophenotype_gwas_qtl_extension_v1	csf_abeta42	GCST90726396	ENSG00000000971	NA	1	196621008	196716634	196	-1.3021	0.90357	FALSE	0.0008771929824561404	FALSE	tested_magma_v1.10	MAGMA_v1.10_SNP-wise_mean_gene_body
phase19_endophenotype_gwas_qtl_extension_v1	csf_abeta42	GCST90726396	ENSG00000001036	NA	6	143815948	143832827	27	0.32152	0.37391	FALSE	0.0008771929824561404	FALSE	tested_magma_v1.10	MAGMA_v1.10_SNP-wise_mean_gene_body
phase19_endophenotype_gwas_qtl_extension_v1	csf_abeta42	GCST90726396	ENSG00000001084	NA	6	53362139	53481768	345	1.2377	0.1079	FALSE	0.0008771929824561404	FALSE	tested_magma_v1.10	MAGMA_v1.10_SNP-wise_mean_gene_body
phase19_endophenotype_gwas_qtl_extension_v1	csf_abeta42	GCST90726396	ENSG00000001167	NA	6	41040684	41067715	36	0.17919	0.42889	FALSE	0.0008771929824561404	FALSE	tested_magma_v1.10	MAGMA_v1.10_SNP-wise_mean_gene_body
phase19_endophenotype_gwas_qtl_extension_v1	csf_abeta42	GCST90726396	ENSG00000001460	NA	1	24683489	24743424	141	1.2862	0.099184	FALSE	0.0008771929824561404	FALSE	tested_magma_v1.10	MAGMA_v1.10_SNP-wise_mean_gene_body
phase19_endophenotype_gwas_qtl_extension_v1	csf_abeta42	GCST90726396	ENSG00000001461	NA	1	24742284	24799466	148	2.0565	0.019869	FALSE	0.0008771929824561404	FALSE	tested_magma_v1.10	MAGMA_v1.10_SNP-wise_mean_gene_body
phase19_endophenotype_gwas_qtl_extension_v1	csf_abeta42	GCST90726396	ENSG00000001561	NA	6	46097730	46114436	34	-1.0867	0.86142	FALSE	0.0008771929824561404	FALSE	tested_magma_v1.10	MAGMA_v1.10_SNP-wise_mean_gene_body
phase19_endophenotype_gwas_qtl_extension_v1	csf_abeta42	GCST90726396	ENSG00000001617	NA	3	50192478	50226508	58	0.74078	0.22941	FALSE	0.0008771929824561404	FALSE	tested_magma_v1.10	MAGMA_v1.10_SNP-wise_mean_gene_body
phase19_endophenotype_gwas_qtl_extension_v1	csf_abeta42	GCST90726396	ENSG00000001626	NA	7	117105838	117356025	353	-0.52735	0.70103	FALSE	0.0008771929824561404	FALSE	tested_magma_v1.10	MAGMA_v1.10_SNP-wise_mean_gene_body
phase19_endophenotype_gwas_qtl_extension_v1	csf_abeta42	GCST90726396	ENSG00000001629	NA	7	91875548	92030698	137	0.47044	0.31902	FALSE	0.0008771929824561404	FALSE	tested_magma_v1.10	MAGMA_v1.10_SNP-wise_mean_gene_body
phase19_endophenotype_gwas_qtl_extension_v1	csf_abeta42	GCST90726396	ENSG00000001630	NA	7	91741465	91772266	49	0.66613	0.25266	FALSE	0.0008771929824561404	FALSE	tested_magma_v1.10	MAGMA_v1.10_SNP-wise_mean_gene_body
phase19_endophenotype_gwas_qtl_extension_v1	csf_abeta42	GCST90726396	ENSG00000001631	NA	7	91828283	91875480	46	0.52875	0.29849	FALSE	0.0008771929824561404	FALSE	tested_magma_v1.10	MAGMA_v1.10_SNP-wise_mean_gene_body
phase19_endophenotype_gwas_qtl_extension_v1	csf_abeta42	GCST90726396	ENSG00000002016	NA	12	1021243	1099219	206	0.010727	0.49572	FALSE	0.0008771929824561404	FALSE	tested_magma_v1.10	MAGMA_v1.10_SNP-wise_mean_gene_body
