schema_version	screen_id	gene	ensembl_gene_id	trait_id	source_accession	is_mtdna_gene	chromosome	window_start	window_end	analysis_scope	frozen_before_result
phase19_endophenotype_gwas_qtl_extension_v1	ANKRD11__csf_abeta42	ANKRD11	ENSG00000167522	csf_abeta42	GCST90726396	FALSE	16	88267630	90490561	nuclear_gwas_qtl	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	ANKRD11__csf_total_tau	ANKRD11	ENSG00000167522	csf_total_tau	GCST90726397	FALSE	16	88267630	90490561	nuclear_gwas_qtl	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	ANKRD11__csf_ptau181	ANKRD11	ENSG00000167522	csf_ptau181	GCST90726398	FALSE	16	88267630	90490561	nuclear_gwas_qtl	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_abeta42	APOE	ENSG00000130203	csf_abeta42	GCST90726396	FALSE	19	43905791	45909393	nuclear_gwas_qtl	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_total_tau	APOE	ENSG00000130203	csf_total_tau	GCST90726397	FALSE	19	43905791	45909393	nuclear_gwas_qtl	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_ptau181	APOE	ENSG00000130203	csf_ptau181	GCST90726398	FALSE	19	43905791	45909393	nuclear_gwas_qtl	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	ATP6V1F__csf_abeta42	ATP6V1F	ENSG00000128524	csf_abeta42	GCST90726396	FALSE	7	127862856	129865847	nuclear_gwas_qtl	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	ATP6V1F__csf_total_tau	ATP6V1F	ENSG00000128524	csf_total_tau	GCST90726397	FALSE	7	127862856	129865847	nuclear_gwas_qtl	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	ATP6V1F__csf_ptau181	ATP6V1F	ENSG00000128524	csf_ptau181	GCST90726398	FALSE	7	127862856	129865847	nuclear_gwas_qtl	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	COX4I1__csf_abeta42	COX4I1	ENSG00000131143	csf_abeta42	GCST90726396	FALSE	16	84798633	86807068	nuclear_gwas_qtl	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	COX4I1__csf_total_tau	COX4I1	ENSG00000131143	csf_total_tau	GCST90726397	FALSE	16	84798633	86807068	nuclear_gwas_qtl	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	COX4I1__csf_ptau181	COX4I1	ENSG00000131143	csf_ptau181	GCST90726398	FALSE	16	84798633	86807068	nuclear_gwas_qtl	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	COX6B1__csf_abeta42	COX6B1	ENSG00000126267	csf_abeta42	GCST90726396	FALSE	19	34648323	36658782	nuclear_gwas_qtl	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	COX6B1__csf_total_tau	COX6B1	ENSG00000126267	csf_total_tau	GCST90726397	FALSE	19	34648323	36658782	nuclear_gwas_qtl	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	COX6B1__csf_ptau181	COX6B1	ENSG00000126267	csf_ptau181	GCST90726398	FALSE	19	34648323	36658782	nuclear_gwas_qtl	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	COX7C__csf_abeta42	COX7C	ENSG00000127184	csf_abeta42	GCST90726396	FALSE	5	85617928	87620962	nuclear_gwas_qtl	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	COX7C__csf_total_tau	COX7C	ENSG00000127184	csf_total_tau	GCST90726397	FALSE	5	85617928	87620962	nuclear_gwas_qtl	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	COX7C__csf_ptau181	COX7C	ENSG00000127184	csf_ptau181	GCST90726398	FALSE	5	85617928	87620962	nuclear_gwas_qtl	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	DYNLT1__csf_abeta42	DYNLT1	ENSG00000146425	csf_abeta42	GCST90726396	FALSE	6	157636474	159644743	nuclear_gwas_qtl	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	DYNLT1__csf_total_tau	DYNLT1	ENSG00000146425	csf_total_tau	GCST90726397	FALSE	6	157636474	159644743	nuclear_gwas_qtl	TRUE
