schema_version	gene	ensembl_gene_id	chromosome	window_start	window_end	regional_gwas_rows	regional_min_p	regional_lead_variant	regional_gwas_signal	trait_type	effect_scale	cases	controls	source_accession
human_genetic_support_tier2_classical_coloc_recovery_v1	RPL11	ENSG00000142676	1	22691742	24696835	14435	8.157e-06	rs6695656	FALSE	case_control	log_odds_beta	85934	401577	GCST90027158
human_genetic_support_tier2_classical_coloc_recovery_v1	LAMTOR5	ENSG00000134248	1	109401249	111407942	14712	6.605e-05	rs79406748	FALSE	case_control	log_odds_beta	85934	401577	GCST90027158
human_genetic_support_tier2_classical_coloc_recovery_v1	LAPTM4A	ENSG00000068697	2	19032650	21051628	16045	5.651e-06	rs10171699	FALSE	case_control	log_odds_beta	85934	401577	GCST90027158
human_genetic_support_tier2_classical_coloc_recovery_v1	NCOA1	ENSG00000084676	2	23491254	25770702	15153	1.213e-05	rs185123021	FALSE	case_control	log_odds_beta	85934	401577	GCST90027158
human_genetic_support_tier2_classical_coloc_recovery_v1	RPL15	ENSG00000174748	3	22916591	24924374	17466	2.677e-05	rs545795382	FALSE	case_control	log_odds_beta	85934	401577	GCST90027158
human_genetic_support_tier2_classical_coloc_recovery_v1	COX7C	ENSG00000127184	5	85617928	87620962	15704	8.579e-14	rs62375397	TRUE	case_control	log_odds_beta	85934	401577	GCST90027158
human_genetic_support_tier2_classical_coloc_recovery_v1	DYNLT1	ENSG00000146425	6	157636474	159644743	16978	6.079e-05	rs149553014	FALSE	case_control	log_odds_beta	85934	401577	GCST90027158
human_genetic_support_tier2_classical_coloc_recovery_v1	ATP6V1F	ENSG00000128524	7	127862856	129865847	14139	4e-05	rs192046862	FALSE	case_control	log_odds_beta	85934	401577	GCST90027158
human_genetic_support_tier2_classical_coloc_recovery_v1	RPS13	ENSG00000110700	11	16074388	18077715	13612	8.997e-05	rs11605342	FALSE	case_control	log_odds_beta	85934	401577	GCST90027158
human_genetic_support_tier2_classical_coloc_recovery_v1	RPLP1	ENSG00000137818	15	68452814	70456205	14632	0.0002931	rs139314934	FALSE	case_control	log_odds_beta	85934	401577	GCST90027158
human_genetic_support_tier2_classical_coloc_recovery_v1	COX4I1	ENSG00000131143	16	84798633	86807068	23085	2.929e-06	rs16941239	FALSE	case_control	log_odds_beta	85934	401577	GCST90027158
human_genetic_support_tier2_classical_coloc_recovery_v1	ANKRD11	ENSG00000167522	16	88267630	90490561	19764	1.283e-11	rs56407236	TRUE	case_control	log_odds_beta	85934	401577	GCST90027158
human_genetic_support_tier2_classical_coloc_recovery_v1	RPL38	ENSG00000172809	17	73203582	75210655	17184	1.05e-05	rs62064069	FALSE	case_control	log_odds_beta	85934	401577	GCST90027158
human_genetic_support_tier2_classical_coloc_recovery_v1	RPS15	ENSG00000115268	19	438358	2440495	20114	4.089e-30	rs12151021	TRUE	case_control	log_odds_beta	85934	401577	GCST90027158
human_genetic_support_tier2_classical_coloc_recovery_v1	COX6B1	ENSG00000126267	19	34648323	36658782	14910	3.932e-05	rs897764	FALSE	case_control	log_odds_beta	85934	401577	GCST90027158
human_genetic_support_tier2_classical_coloc_recovery_v1	APOE	ENSG00000130203	19	43905791	45909393	15788	0	rs747519137	TRUE	case_control	log_odds_beta	85934	401577	GCST90027158
human_genetic_support_tier2_classical_coloc_recovery_v1	SELENOW	ENSG00000178980	19	46778677	48784686	15241	6.41e-05	rs17206581	FALSE	case_control	log_odds_beta	85934	401577	GCST90027158
human_genetic_support_tier2_classical_coloc_recovery_v1	FTL	ENSG00000087086	19	47965309	49966879	16549	5.711e-06	rs8103552	FALSE	case_control	log_odds_beta	85934	401577	GCST90027158
human_genetic_support_tier2_classical_coloc_recovery_v1	UQCR10	ENSG00000184076	22	28767369	30770413	15669	1.248e-05	rs145834560	FALSE	case_control	log_odds_beta	85934	401577	GCST90027158
