schema_version	comparison_id	route_id	candidate_id	gene	broad_network	qtl_type	dataset_id	locus_id	gwas_signal_present	mapped_qtl_traits	qtl_signal_traits	maximum_harmonized_variants	minimum_required_variants	terminal_state	reason
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R001	T2R001	GS001	ANKRD11	OPCs	eQTL	QTD000579	ANKRD11_chr16_88267630_90490561	TRUE	0	0	0	50	no_regional_qtl_signal	complete_indexed_dense_eqtl_region_fails_frozen_per_gene_bonferroni_signal_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R002	T2R002	GS001	ANKRD11	OPCs	sQTL	QTD000583	ANKRD11_chr16_88267630_90490561	TRUE	0	0	0	50	not_assessable	target_gene_splicing_event_absent_from_conditionally_detected_cc_and_lbf_releases;measurement_status_unresolved
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R003	T2R003	GS002	APOE	Astrocytes	eQTL	QTD000579	APOE_chr19_43905791_45909393	TRUE	0	0	0	50	model_or_ld_incompatible	dense_regional_eqtl_signal_present_but_released_susie_model_absent_and_qtl_ancestry_matched_ld_unavailable
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R004	T2R004	GS002	APOE	Astrocytes	sQTL	QTD000583	APOE_chr19_43905791_45909393	TRUE	0	0	0	50	not_assessable	target_gene_splicing_event_absent_from_conditionally_detected_cc_and_lbf_releases;measurement_status_unresolved
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R005	T2R005	GS003	ATP6V1F	Inhibitory_neurons	eQTL	QTD000569	ATP6V1F_chr7_127862856_129865847	FALSE	0	0	0	50	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R006	T2R006	GS003	ATP6V1F	Inhibitory_neurons	sQTL	QTD000573	ATP6V1F_chr7_127862856_129865847	FALSE	0	0	0	50	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R007	T2R007	GS004	COX4I1	Astrocytes	eQTL	QTD000579	COX4I1_chr16_84798633_86807068	FALSE	0	0	0	50	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R008	T2R008	GS004	COX4I1	Astrocytes	sQTL	QTD000583	COX4I1_chr16_84798633_86807068	FALSE	0	0	0	50	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R009	T2R009	GS005	COX4I1	Excitatory_neurons	eQTL	QTD000569	COX4I1_chr16_84798633_86807068	FALSE	0	0	0	50	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R010	T2R010	GS005	COX4I1	Excitatory_neurons	sQTL	QTD000573	COX4I1_chr16_84798633_86807068	FALSE	0	0	0	50	no_regional_gwas_signal	complete_dense_bellenguez_region_has_no_variant_below_5e-8
