schema_version	candidate_id	gene	broad_network	case_id	case_label	final_grade	context_match	best_evidence_id	permitted_interpretation	replicated	conflicting_evidence	source_ids	completion_scope
human_genetic_support_tier1_v1	GS001	ANKRD11	OPCs	non_mt_driver	non-MT driver	none_found	not_reported	NA	No direct mapping to this gene was found in the registered filtered Tier 1 summary; this is not evidence that genetic support is absent.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS002	APOE	Astrocytes	non_mt_driver	non-MT driver	strong	fallback_brain_context	rs429358	Direct APOE evidence includes the genome-wide AD fine-mapped coding variant rs429358 (inclusion score 1.0); xQTL/TWAS support is available only in fallback brain contexts.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS003	ATP6V1F	Inhibitory_neurons	non_mt_driver	non-MT driver	none_found	not_reported	NA	No direct mapping to this gene was found in the registered filtered Tier 1 summary; this is not evidence that genetic support is absent.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS004	COX4I1	Astrocytes	mt_driver	MT driver	none_found	not_reported	NA	No direct mapping to this gene was found in the registered filtered Tier 1 summary; this is not evidence that genetic support is absent.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS005	COX4I1	Excitatory_neurons	mt_driver	MT driver	none_found	not_reported	NA	No direct mapping to this gene was found in the registered filtered Tier 1 summary; this is not evidence that genetic support is absent.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS006	COX6B1	Excitatory_neurons	mt_driver	MT driver	none_found	not_reported	NA	No direct mapping to this gene was found in the registered filtered Tier 1 summary; this is not evidence that genetic support is absent.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS007	COX7C	Astrocytes	mt_driver	MT driver	weak	fallback_bulk_sQTL	rs2010322	COX7C has a filtered bulk sQTL/AD colocalization entry (CL5), but the AD association is sub-genome-wide and the xQTL inclusion score is low.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS008	COX7C	Inhibitory_neurons	mt_driver	MT driver	weak	fallback_bulk_sQTL	rs2010322	COX7C has a filtered bulk sQTL/AD colocalization entry (CL5), but the AD association is sub-genome-wide and the xQTL inclusion score is low.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS009	DYNLT1	Excitatory_neurons	non_mt_driver	non-MT driver	none_found	not_reported	NA	No direct mapping to this gene was found in the registered filtered Tier 1 summary; this is not evidence that genetic support is absent.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS010	FTL	OPCs	non_mt_driver	non-MT driver	none_found	not_reported	NA	No direct mapping to this gene was found in the registered filtered Tier 1 summary; this is not evidence that genetic support is absent.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS011	LAMTOR5	Excitatory_neurons	non_mt_driver	non-MT driver	none_found	not_reported	NA	No direct mapping to this gene was found in the registered filtered Tier 1 summary; this is not evidence that genetic support is absent.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS012	LAMTOR5	Inhibitory_neurons	non_mt_driver	non-MT driver	none_found	not_reported	NA	No direct mapping to this gene was found in the registered filtered Tier 1 summary; this is not evidence that genetic support is absent.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS013	LAPTM4A	Astrocytes	non_mt_driver	non-MT driver	none_found	not_reported	NA	No direct mapping to this gene was found in the registered filtered Tier 1 summary; this is not evidence that genetic support is absent.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS014	MT-ATP6	Astrocytes	mt_driver	MT driver	not_assessable	not_assessable	NA	The registered Tier 1 nuclear AD/xQTL snapshot does not assess mtDNA association, heteroplasmy, haplogroup, copy number, or NUMT-aware evidence.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS015	MT-ATP6	Vasculature_cells	mt_driver	MT driver	not_assessable	not_assessable	NA	The registered Tier 1 nuclear AD/xQTL snapshot does not assess mtDNA association, heteroplasmy, haplogroup, copy number, or NUMT-aware evidence.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS016	MT-CO2	Astrocytes	mt_driver	MT driver	not_assessable	not_assessable	NA	The registered Tier 1 nuclear AD/xQTL snapshot does not assess mtDNA association, heteroplasmy, haplogroup, copy number, or NUMT-aware evidence.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS017	MT-CO2	Excitatory_neurons	mt_driver	MT driver	not_assessable	not_assessable	NA	The registered Tier 1 nuclear AD/xQTL snapshot does not assess mtDNA association, heteroplasmy, haplogroup, copy number, or NUMT-aware evidence.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS018	MT-CO2	Inhibitory_neurons	mt_driver	MT driver	not_assessable	not_assessable	NA	The registered Tier 1 nuclear AD/xQTL snapshot does not assess mtDNA association, heteroplasmy, haplogroup, copy number, or NUMT-aware evidence.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS019	MT-CO2	Microglia	mt_driver	MT driver	not_assessable	not_assessable	NA	The registered Tier 1 nuclear AD/xQTL snapshot does not assess mtDNA association, heteroplasmy, haplogroup, copy number, or NUMT-aware evidence.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS020	MT-CO2	OPCs	mt_driver	MT driver	not_assessable	not_assessable	NA	The registered Tier 1 nuclear AD/xQTL snapshot does not assess mtDNA association, heteroplasmy, haplogroup, copy number, or NUMT-aware evidence.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS021	MT-CO2	Oligodendrocytes	mt_driver	MT driver	not_assessable	not_assessable	NA	The registered Tier 1 nuclear AD/xQTL snapshot does not assess mtDNA association, heteroplasmy, haplogroup, copy number, or NUMT-aware evidence.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS022	MT-CO2	Vasculature_cells	mt_driver	MT driver	not_assessable	not_assessable	NA	The registered Tier 1 nuclear AD/xQTL snapshot does not assess mtDNA association, heteroplasmy, haplogroup, copy number, or NUMT-aware evidence.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS023	MT-CO3	Astrocytes	mt_driver	MT driver	not_assessable	not_assessable	NA	The registered Tier 1 nuclear AD/xQTL snapshot does not assess mtDNA association, heteroplasmy, haplogroup, copy number, or NUMT-aware evidence.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS024	MT-CO3	Inhibitory_neurons	mt_driver	MT driver	not_assessable	not_assessable	NA	The registered Tier 1 nuclear AD/xQTL snapshot does not assess mtDNA association, heteroplasmy, haplogroup, copy number, or NUMT-aware evidence.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS025	MT-CO3	OPCs	mt_driver	MT driver	not_assessable	not_assessable	NA	The registered Tier 1 nuclear AD/xQTL snapshot does not assess mtDNA association, heteroplasmy, haplogroup, copy number, or NUMT-aware evidence.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS026	MT-CO3	Vasculature_cells	mt_driver	MT driver	not_assessable	not_assessable	NA	The registered Tier 1 nuclear AD/xQTL snapshot does not assess mtDNA association, heteroplasmy, haplogroup, copy number, or NUMT-aware evidence.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS027	MT-CYB	Excitatory_neurons	mt_driver	MT driver	not_assessable	not_assessable	NA	The registered Tier 1 nuclear AD/xQTL snapshot does not assess mtDNA association, heteroplasmy, haplogroup, copy number, or NUMT-aware evidence.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS028	MT-CYB	Inhibitory_neurons	mt_driver	MT driver	not_assessable	not_assessable	NA	The registered Tier 1 nuclear AD/xQTL snapshot does not assess mtDNA association, heteroplasmy, haplogroup, copy number, or NUMT-aware evidence.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS029	MT-ND4	Microglia	mt_driver	MT driver	not_assessable	not_assessable	NA	The registered Tier 1 nuclear AD/xQTL snapshot does not assess mtDNA association, heteroplasmy, haplogroup, copy number, or NUMT-aware evidence.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS030	MT-ND4	OPCs	mt_driver	MT driver	not_assessable	not_assessable	NA	The registered Tier 1 nuclear AD/xQTL snapshot does not assess mtDNA association, heteroplasmy, haplogroup, copy number, or NUMT-aware evidence.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS031	MT-ND4	Oligodendrocytes	mt_driver	MT driver	not_assessable	not_assessable	NA	The registered Tier 1 nuclear AD/xQTL snapshot does not assess mtDNA association, heteroplasmy, haplogroup, copy number, or NUMT-aware evidence.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS032	MT-ND4	Vasculature_cells	mt_driver	MT driver	not_assessable	not_assessable	NA	The registered Tier 1 nuclear AD/xQTL snapshot does not assess mtDNA association, heteroplasmy, haplogroup, copy number, or NUMT-aware evidence.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS033	MT-ND5	Inhibitory_neurons	mt_driver	MT driver	not_assessable	not_assessable	NA	The registered Tier 1 nuclear AD/xQTL snapshot does not assess mtDNA association, heteroplasmy, haplogroup, copy number, or NUMT-aware evidence.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS034	NCOA1	OPCs	non_mt_driver	non-MT driver	none_found	not_reported	NA	No direct mapping to this gene was found in the registered filtered Tier 1 summary; this is not evidence that genetic support is absent.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS035	RPL11	Astrocytes	non_mt_driver	non-MT driver	none_found	not_reported	NA	No direct mapping to this gene was found in the registered filtered Tier 1 summary; this is not evidence that genetic support is absent.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS036	RPL11	Excitatory_neurons	non_mt_driver	non-MT driver	none_found	not_reported	NA	No direct mapping to this gene was found in the registered filtered Tier 1 summary; this is not evidence that genetic support is absent.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS037	RPL11	Microglia	non_mt_driver	non-MT driver	none_found	not_reported	NA	No direct mapping to this gene was found in the registered filtered Tier 1 summary; this is not evidence that genetic support is absent.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS038	RPL11	Oligodendrocytes	non_mt_driver	non-MT driver	none_found	not_reported	NA	No direct mapping to this gene was found in the registered filtered Tier 1 summary; this is not evidence that genetic support is absent.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS039	RPL15	Astrocytes	non_mt_driver	non-MT driver	none_found	not_reported	NA	No direct mapping to this gene was found in the registered filtered Tier 1 summary; this is not evidence that genetic support is absent.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS040	RPL38	Inhibitory_neurons	non_mt_driver	non-MT driver	none_found	not_reported	NA	No direct mapping to this gene was found in the registered filtered Tier 1 summary; this is not evidence that genetic support is absent.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS041	RPLP1	Astrocytes	non_mt_driver	non-MT driver	none_found	not_reported	NA	No direct mapping to this gene was found in the registered filtered Tier 1 summary; this is not evidence that genetic support is absent.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS042	RPLP1	Inhibitory_neurons	non_mt_driver	non-MT driver	none_found	not_reported	NA	No direct mapping to this gene was found in the registered filtered Tier 1 summary; this is not evidence that genetic support is absent.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS043	RPS13	Excitatory_neurons	non_mt_driver	non-MT driver	none_found	not_reported	NA	No direct mapping to this gene was found in the registered filtered Tier 1 summary; this is not evidence that genetic support is absent.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS044	RPS15	Inhibitory_neurons	non_mt_driver	non-MT driver	none_found	not_reported	NA	No direct mapping to this gene was found in the registered filtered Tier 1 summary; this is not evidence that genetic support is absent.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS045	RPS15	OPCs	non_mt_driver	non-MT driver	none_found	not_reported	NA	No direct mapping to this gene was found in the registered filtered Tier 1 summary; this is not evidence that genetic support is absent.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS046	SELENOW	Excitatory_neurons	non_mt_driver	non-MT driver	weak	context_unreported	TWAS_gene_list	SELENOW appears in the release TWAS gene list, but the public Tier 1 table does not provide the model statistic or an exact excitatory-neuron context.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
human_genetic_support_tier1_v1	GS047	UQCR10	Excitatory_neurons	mt_driver	MT driver	none_found	not_reported	NA	No direct mapping to this gene was found in the registered filtered Tier 1 summary; this is not evidence that genetic support is absent.	False	False	FunGen-xQTL_public_snapshot	Tier 1 screen only
