schema_version	gene	source	status	test	mask	maf_threshold	mac	effect	standard_error	pvalue	adjusted_pvalue	replication	driver_variants	interpretation_limit
human_genetic_support_tier1_v1	ANKRD11	registered_public_summary	not_assessable_full_burden_table_absent	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No corrected gene-level burden statistics were available in the registered public snapshot.
human_genetic_support_tier1_v1	APOE	ADSP_GVC_membership	reported_without_test_statistics	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gene membership is not a burden-test effect estimate.
human_genetic_support_tier1_v1	ATP6V1F	registered_public_summary	not_assessable_full_burden_table_absent	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No corrected gene-level burden statistics were available in the registered public snapshot.
human_genetic_support_tier1_v1	COX4I1	registered_public_summary	not_assessable_full_burden_table_absent	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No corrected gene-level burden statistics were available in the registered public snapshot.
human_genetic_support_tier1_v1	COX6B1	registered_public_summary	not_assessable_full_burden_table_absent	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No corrected gene-level burden statistics were available in the registered public snapshot.
human_genetic_support_tier1_v1	COX7C	registered_public_summary	not_assessable_full_burden_table_absent	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No corrected gene-level burden statistics were available in the registered public snapshot.
human_genetic_support_tier1_v1	DYNLT1	registered_public_summary	not_assessable_full_burden_table_absent	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No corrected gene-level burden statistics were available in the registered public snapshot.
human_genetic_support_tier1_v1	FTL	registered_public_summary	not_assessable_full_burden_table_absent	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No corrected gene-level burden statistics were available in the registered public snapshot.
human_genetic_support_tier1_v1	LAMTOR5	registered_public_summary	not_assessable_full_burden_table_absent	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No corrected gene-level burden statistics were available in the registered public snapshot.
human_genetic_support_tier1_v1	LAPTM4A	registered_public_summary	not_assessable_full_burden_table_absent	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No corrected gene-level burden statistics were available in the registered public snapshot.
human_genetic_support_tier1_v1	MT-ATP6	registered_public_summary	not_applicable_mtdna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No corrected gene-level burden statistics were available in the registered public snapshot.
human_genetic_support_tier1_v1	MT-CO2	registered_public_summary	not_applicable_mtdna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No corrected gene-level burden statistics were available in the registered public snapshot.
human_genetic_support_tier1_v1	MT-CO3	registered_public_summary	not_applicable_mtdna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No corrected gene-level burden statistics were available in the registered public snapshot.
human_genetic_support_tier1_v1	MT-CYB	registered_public_summary	not_applicable_mtdna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No corrected gene-level burden statistics were available in the registered public snapshot.
human_genetic_support_tier1_v1	MT-ND4	registered_public_summary	not_applicable_mtdna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No corrected gene-level burden statistics were available in the registered public snapshot.
human_genetic_support_tier1_v1	MT-ND5	registered_public_summary	not_applicable_mtdna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No corrected gene-level burden statistics were available in the registered public snapshot.
human_genetic_support_tier1_v1	NCOA1	registered_public_summary	not_assessable_full_burden_table_absent	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No corrected gene-level burden statistics were available in the registered public snapshot.
human_genetic_support_tier1_v1	RPL11	registered_public_summary	not_assessable_full_burden_table_absent	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No corrected gene-level burden statistics were available in the registered public snapshot.
human_genetic_support_tier1_v1	RPL15	registered_public_summary	not_assessable_full_burden_table_absent	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No corrected gene-level burden statistics were available in the registered public snapshot.
human_genetic_support_tier1_v1	RPL38	registered_public_summary	not_assessable_full_burden_table_absent	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No corrected gene-level burden statistics were available in the registered public snapshot.
human_genetic_support_tier1_v1	RPLP1	registered_public_summary	not_assessable_full_burden_table_absent	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No corrected gene-level burden statistics were available in the registered public snapshot.
human_genetic_support_tier1_v1	RPS13	registered_public_summary	not_assessable_full_burden_table_absent	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No corrected gene-level burden statistics were available in the registered public snapshot.
human_genetic_support_tier1_v1	RPS15	registered_public_summary	not_assessable_full_burden_table_absent	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No corrected gene-level burden statistics were available in the registered public snapshot.
human_genetic_support_tier1_v1	SELENOW	registered_public_summary	not_assessable_full_burden_table_absent	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No corrected gene-level burden statistics were available in the registered public snapshot.
human_genetic_support_tier1_v1	UQCR10	registered_public_summary	not_assessable_full_burden_table_absent	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No corrected gene-level burden statistics were available in the registered public snapshot.
