schema_version	candidate_id	gene	priority_tier	trait_id	source_accession	ensembl_gene_id	chromosome_candidate	start_candidate	end	chromosome_magma	start_magma	stop	n_snps	z_stat	p_value	candidate_threshold	candidate_significant	test_status	result_provenance
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0001	ACAT2	P2	clinical_ad	GCST90027158	ENSG00000120437	6	159762045	159779112	6	160181360.0	160200144.0	102.0	-1.6342	0.94889	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0002	AGRN	P2	clinical_ad	GCST90027158	ENSG00000188157	1	1020120	1056118	1	955503.0	991496.0	274.0	3.7351	9.381e-05	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0003	AL035071.1	P3	clinical_ad	GCST90027158	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.482456140350877e-05	False	not_assessable_symbol_mapping_failed	NA
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0004	AL139260.1	P3	clinical_ad	GCST90027158	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.482456140350877e-05	False	not_assessable_symbol_mapping_failed	NA
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0005	ALG8	P3	clinical_ad	GCST90027158	ENSG00000159063	11	78095244	78139660	11	77811982.0	77850706.0	321.0	0.46793	0.31992	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0006	ANKRD11	P2	clinical_ad	GCST90027158	ENSG00000167522	16	89267630	89490561	16	89334038.0	89556969.0	991.0	-1.3094	0.90479	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0007	ANKRD13A	P3	clinical_ad	GCST90027158	ENSG00000076513	12	109999186	110039763	12	110436991.0	110477568.0	146.0	0.95585	0.16957	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0008	AP2M1	P2	clinical_ad	GCST90027158	ENSG00000161203	3	184174689	184184214	3	183892477.0	183901879.0	43.0	1.4879	0.068393	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0009	APOE	P2	clinical_ad	GCST90027158	ENSG00000130203	19	44905791	44909393	19	45409011.0	45412650.0	9.0	7.7048	6.5503e-15	5.482456140350877e-05	True	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0010	ARGLU1	P3	clinical_ad	GCST90027158	ENSG00000134884	13	106541673	106568137	13	107194021.0	107220512.0	81.0	-1.2259	0.88988	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0011	ARID5A	P2	clinical_ad	GCST90027158	ENSG00000196843	2	96536743	96552634	2	97202480.0	97218375.0	52.0	-1.1955	0.88405	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0012	ATCAY	P2	clinical_ad	GCST90027158	ENSG00000167654	19	3879864	3928082	19	3879862.0	3928077.0	251.0	-0.067464	0.52689	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0013	ATG101	P2	clinical_ad	GCST90027158	ENSG00000123395	12	52069246	52077495	12	52463030.0	52471278.0	36.0	0.17993	0.4286	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0014	ATP6AP2	P2	clinical_ad	GCST90027158	ENSG00000182220	X	40579372	40606848	NA	NA	NA	NA	NA	NA	5.482456140350877e-05	False	not_assessable_no_fuma_v110_reference_gene_model	NA
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0015	ATP6V0B	P2	clinical_ad	GCST90027158	ENSG00000117410	1	43974487	43978295	1	44440159.0	44443967.0	16.0	0.52382	0.3002	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0016	ATP6V0E2	P3	clinical_ad	GCST90027158	ENSG00000171130	7	149872968	149891204	7	149570057.0	149577784.0	43.0	-0.46027	0.67734	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0017	ATP6V1F	P2	clinical_ad	GCST90027158	ENSG00000128524	7	128862856	128865847	7	128502880.0	128505898.0	19.0	-0.16792	0.56668	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0018	ATP6V1G1	P2	clinical_ad	GCST90027158	ENSG00000136888	9	114587706	114598915	9	117350026.0	117360653.0	33.0	0.42579	0.33513	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0019	B3GAT3	P2	clinical_ad	GCST90027158	ENSG00000149541	11	62615296	62622154	11	62382768.0	62389647.0	22.0	-0.96436	0.83257	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0020	BAIAP2L1	P2	clinical_ad	GCST90027158	ENSG00000006453	7	98291650	98401090	7	97920963.0	98030380.0	459.0	0.0014119	0.49944	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0021	BCL6	P2	clinical_ad	GCST90027158	ENSG00000113916	3	187721377	187745725	3	187439165.0	187463515.0	119.0	0.21804	0.4137	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0022	BEX1	P2	clinical_ad	GCST90027158	ENSG00000133169	X	103062651	103064171	NA	NA	NA	NA	NA	NA	5.482456140350877e-05	False	not_assessable_no_fuma_v110_reference_gene_model	NA
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0023	BEX3	P2	clinical_ad	GCST90027158	ENSG00000166681	X	103376395	103378164	NA	NA	NA	NA	NA	NA	5.482456140350877e-05	False	not_assessable_no_fuma_v110_reference_gene_model	NA
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0024	BEX4	P3	clinical_ad	GCST90027158	ENSG00000102409	X	103215108	103217246	NA	NA	NA	NA	NA	NA	5.482456140350877e-05	False	not_assessable_no_fuma_v110_reference_gene_model	NA
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0025	BEX5	P2	clinical_ad	GCST90027158	ENSG00000184515	X	102153708	102155977	NA	NA	NA	NA	NA	NA	5.482456140350877e-05	False	not_assessable_no_fuma_v110_reference_gene_model	NA
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0026	BMPR2	P2	clinical_ad	GCST90027158	ENSG00000204217	2	202376327	202567751	2	203241659.0	203432474.0	644.0	1.4675	0.071115	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0027	BRD1	P3	clinical_ad	GCST90027158	ENSG00000100425	22	49773283	49827873	22	50166931.0	50221160.0	302.0	2.432	0.0075085	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0028	BRK1	P3	clinical_ad	GCST90027158	ENSG00000254999	3	10115675	10127190	3	10157276.0	10168874.0	62.0	0.22213	0.4121	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0029	BTF3	P2	clinical_ad	GCST90027158	ENSG00000145741	5	73498408	73505667	5	72794233.0	72801460.0	36.0	0.84109	0.20015	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0030	C11orf68	P3	clinical_ad	GCST90027158	ENSG00000175573	11	65916810	65919062	11	65684279.0	65686588.0	8.0	0.79861	0.21226	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0031	CADM1	P2	clinical_ad	GCST90027158	ENSG00000182985	11	115169218	115504957	11	115039938.0	115375675.0	1453.0	1.2653	0.10288	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0032	CAMK2N2	P2	clinical_ad	GCST90027158	ENSG00000163888	3	184259213	184261553	3	183977001.0	183979251.0	9.0	3.4776	0.00025297	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0033	CARNS1	P3	clinical_ad	GCST90027158	ENSG00000172508	11	67414968	67425607	11	67182439.0	67193078.0	44.0	0.44114	0.32956	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
phase19b_sex_apoe_kda_combo_v2_magma	GS19B0034	CCDC85B	P2	clinical_ad	GCST90027158	ENSG00000175602	11	65890673	65891635	11	65657875.0	65659105.0	4.0	0.96597	0.16703	5.482456140350877e-05	False	tested	fresh_magma_v1.10_phase19b
