schema_version	signature_group	sex	apoe_group	broad_network	current_symbol	case_id	is_core_mito	eligible_run_count	usable_run_count	explicit_run_count	implicit_run_count	missing_run_count	coverage_numerator	coverage_denominator	coverage_fraction	strict_coverage_pass	relaxed_coverage_pass	conservative_support_count	relaxed_support_count	conservative_support_pass	relaxed_support_pass	recurrence_fraction	supporting_fine_cell_type_count	supporting_fine_cell_types	supporting_direction_count	supporting_directions	median_support_fold_enrichment	maximum_support_fold_enrichment	category_acat_p	relaxed_category_acat_q	strict_category_acat_q	studywide_acat_q	missing_as_one_acat_p	missing_as_one_acat_q	mean_log_p_score	strict_non_mt_reference	relaxed_phase20_candidate	exploratory_q20	exploratory_inclusive	terminal_candidate_status	strict_rank	relaxed_rank	exploratory_inclusive_rank	top5_summary	top10_display	stability_assessable_repetitions	stability_nominal_fraction	stability_q_fraction	stability_candidate_fraction	stability_worst_rank	evidence_label	list_status	category_label	strict_label
phase20_sex_apoe_non_mt_kda_v1_top5_summary_v1	F_e33	Female	e33	Excitatory_neurons	MAPKAPK5-AS1	case3_not_core_mito	FALSE	15	13	12	1	2	13	15	0.866666666666667	TRUE	TRUE	1	1	TRUE	TRUE	0.0769230769230769	1	Exc L3-4 RORB CUX2	1	AD_down_mito	68.04	68.04	3.28202284895002e-06	0.00725491150760403	0.00673963392031888	0.0166414968556011	3.7869494410541e-06	0.00837105173945008	0.507523211702067	TRUE	TRUE	FALSE	TRUE	driver_candidate	4	4	4	TRUE	TRUE	13	0.923076923076923	0.923076923076923	0.923076923076923	4	strict_non_mt_reference	ranked_candidates	F_e33 · Excitatory_neurons	strict
phase20_sex_apoe_non_mt_kda_v1_top5_summary_v1	F_e33	Female	e33	Excitatory_neurons	WDR82	case3_not_core_mito	FALSE	15	15	14	1	0	15	15	1	TRUE	TRUE	11	12	TRUE	TRUE	0.8	12	Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5 ET|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L5/6 NP|Exc L6 CT|Exc L6 THEMIS NFIA|Exc L6b	1	AD_up_mito	25.105	39.78	1.01109307073998e-05	0.0178801698629658	0.0166102369661163	0.0376658993768845	1.01109307073998e-05	0.0178801698629658	3.62497557291731	TRUE	TRUE	FALSE	TRUE	driver_candidate	5	5	5	TRUE	TRUE	13	1	1	1	5	recurrent_stable	ranked_candidates	F_e33 · Excitatory_neurons	strict
phase20_sex_apoe_non_mt_kda_v1_top5_summary_v1	F_e33	Female	e33	OPCs	RPS15	case3_not_core_mito	FALSE	1	1	1	0	0	1	1	1	TRUE	TRUE	1	1	TRUE	TRUE	1	1	OPC	1	AD_up_mito	19.06	19.06	2.99646013066942e-10	1.97556616415035e-06	1.97556616415035e-06	1.09393567866427e-05	2.99646013066942e-10	1.97556616415035e-06	9.52339154505932	TRUE	TRUE	FALSE	TRUE	driver_candidate	1	1	1	TRUE	TRUE	0	NA	NA	NA	NA	single_run_evidence	ranked_candidates	F_e33 · OPCs	strict
phase20_sex_apoe_non_mt_kda_v1_top5_summary_v1	F_e33	Female	e33	OPCs	FTL	case3_not_core_mito	FALSE	1	1	1	0	0	1	1	1	TRUE	TRUE	1	1	TRUE	TRUE	1	1	OPC	1	AD_up_mito	15.53	15.53	1.72700967081233e-07	0.000569308737983286	0.000569308737983286	0.00210163260860495	1.72700967081233e-07	0.000569308737983286	6.76270523063593	TRUE	TRUE	FALSE	TRUE	driver_candidate	2	2	2	TRUE	TRUE	0	NA	NA	NA	NA	single_run_evidence	ranked_candidates	F_e33 · OPCs	strict
phase20_sex_apoe_non_mt_kda_v1_top5_summary_v1	F_e33	Female	e33	OPCs	ANKRD11	case3_not_core_mito	FALSE	1	1	1	0	0	1	1	1	TRUE	TRUE	1	1	TRUE	TRUE	1	1	OPC	1	AD_up_mito	11.57	11.57	1.28318908776214e-06	0.00282002188520527	0.00282002188520527	0.00935881806285251	1.28318908776214e-06	0.00282002188520527	5.89170934227611	TRUE	TRUE	FALSE	TRUE	driver_candidate	3	3	3	TRUE	TRUE	0	NA	NA	NA	NA	single_run_evidence	ranked_candidates	F_e33 · OPCs	strict
phase20_sex_apoe_non_mt_kda_v1_top5_summary_v1	F_e4	Female	e4	Astrocytes	RPL15	case3_not_core_mito	FALSE	5	5	4	1	0	5	5	1	TRUE	TRUE	1	1	TRUE	TRUE	0.2	1	Ast DPP10	1	AD_down_mito	54.21	54.21	3.2328877671746e-06	0.0207325092508907	0.0204577137906809	0.0166414968556011	3.2328877671746e-06	0.0207325092508907	1.86862029344437	TRUE	TRUE	FALSE	TRUE	driver_candidate	1	1	1	TRUE	TRUE	3	1	0.666666666666667	0.666666666666667	1	strict_non_mt_reference	ranked_candidates	F_e4 · Astrocytes	strict
phase20_sex_apoe_non_mt_kda_v1_top5_summary_v1	F_e4	Female	e4	Excitatory_neurons	RPL11	case3_not_core_mito	FALSE	13	13	9	4	0	13	13	1	TRUE	TRUE	4	4	TRUE	TRUE	0.307692307692308	4	Exc L2-3 CBLN2 LINC02306|Exc L4-5 RORB IL1RAPL2|Exc L5/6 IT Car3|Exc RELN CHD7	1	AD_down_mito	7.2	7.82	1.04133132934923e-11	9.18974898150699e-08	8.39104785189612e-08	4.75206345491876e-07	1.04133132934923e-11	9.18974898150699e-08	2.75706792894281	TRUE	TRUE	FALSE	TRUE	driver_candidate	1	1	1	TRUE	TRUE	11	1	0.909090909090909	0.909090909090909	1	recurrent_stable	ranked_candidates	F_e4 · Excitatory_neurons	strict
phase20_sex_apoe_non_mt_kda_v1_top5_summary_v1	F_e4	Female	e4	Excitatory_neurons	RPS13	case3_not_core_mito	FALSE	13	13	8	5	0	13	13	1	TRUE	TRUE	2	2	TRUE	TRUE	0.153846153846154	2	Exc L2-3 CBLN2 LINC02306|Exc L4-5 RORB IL1RAPL2	1	AD_down_mito	11.135	11.16	8.14481630188168e-10	3.59390019320529e-06	3.28154648802813e-06	2.47789746352146e-05	8.14481630188168e-10	3.59390019320529e-06	2.2482423355568	TRUE	TRUE	FALSE	TRUE	driver_candidate	2	2	2	TRUE	TRUE	11	1	0.909090909090909	0.909090909090909	2	recurrent_stable	ranked_candidates	F_e4 · Excitatory_neurons	strict
phase20_sex_apoe_non_mt_kda_v1_top5_summary_v1	F_e4	Female	e4	Excitatory_neurons	PSMB6	case3_not_core_mito	FALSE	13	11	6	5	2	11	13	0.846153846153846	TRUE	TRUE	2	2	TRUE	TRUE	0.181818181818182	2	Exc L2-3 CBLN2 LINC02306|Exc L4-5 RORB IL1RAPL2	1	AD_down_mito	12.995	13.08	1.03726056497644e-06	0.00294100516676186	0.00278608187752671	0.00794682051282888	1.22585369273418e-06	0.00360605294612638	1.63402123422359	TRUE	TRUE	FALSE	TRUE	driver_candidate	3	3	3	TRUE	TRUE	11	1	0.909090909090909	0.909090909090909	3	recurrent_stable	ranked_candidates	F_e4 · Excitatory_neurons	strict
phase20_sex_apoe_non_mt_kda_v1_top5_summary_v1	F_e4	Female	e4	Excitatory_neurons	ATG101	case3_not_core_mito	FALSE	13	10	5	5	3	10	13	0.769230769230769	FALSE	TRUE	2	2	TRUE	TRUE	0.2	2	Exc L2-3 CBLN2 LINC02306|Exc L4-5 RORB IL1RAPL2	1	AD_down_mito	12.54	12.66	1.33303350334815e-06	0.00294100516676186	NA	0.00935881806285251	1.73294447549528e-06	0.00382330874906146	1.63623139473758	FALSE	TRUE	FALSE	TRUE	driver_candidate	NA	4	4	TRUE	TRUE	11	1	0.909090909090909	0.909090909090909	4	recurrent_stable	ranked_candidates	F_e4 · Excitatory_neurons	relaxed only
phase20_sex_apoe_non_mt_kda_v1_top5_summary_v1	F_e4	Female	e4	Excitatory_neurons	SELENOW	case3_not_core_mito	FALSE	13	13	10	3	0	13	13	1	TRUE	TRUE	2	2	TRUE	TRUE	0.153846153846154	2	Exc L2-3 CBLN2 LINC02306|Exc L4-5 RORB IL1RAPL2	1	AD_down_mito	10.745	14.02	8.51375210788732e-06	0.0150267724704211	0.017150953621339	0.0330656017504156	8.51375210788732e-06	0.0150267724704211	1.65445873336094	TRUE	TRUE	FALSE	TRUE	driver_candidate	4	5	5	TRUE	TRUE	11	1	0.909090909090909	0.909090909090909	5	recurrent_stable	ranked_candidates	F_e4 · Excitatory_neurons	strict
phase20_sex_apoe_non_mt_kda_v1_top5_summary_v1	F_e4	Female	e4	Inhibitory_neurons	RPS15	case3_not_core_mito	FALSE	5	5	4	1	0	5	5	1	TRUE	TRUE	1	1	TRUE	TRUE	0.2	1	Inh LAMP5 NRG1 (Rosehip)	1	AD_down_mito	13.55	13.55	5.1047546829264e-07	0.00380508414065334	0.00349369410499483	0.00517673172395567	5.1047546829264e-07	0.00380508414065334	2.21405884695233	TRUE	TRUE	FALSE	TRUE	driver_candidate	1	1	1	TRUE	TRUE	5	1	0.8	0.8	1	strict_non_mt_reference	ranked_candidates	F_e4 · Inhibitory_neurons	strict
phase20_sex_apoe_non_mt_kda_v1_top5_summary_v1	F_e4	Female	e4	Inhibitory_neurons	ATP6V1F	case3_not_core_mito	FALSE	5	5	5	0	0	5	5	1	TRUE	TRUE	1	2	TRUE	TRUE	0.4	2	Inh LAMP5 NRG1 (Rosehip)|Inh PVALB HTR4	1	AD_down_mito	7.065	9.21	1.00697992110939e-05	0.035846725882407	0.0329131998845175	0.0376658993768845	1.00697992110939e-05	0.035846725882407	1.94835550340847	TRUE	TRUE	FALSE	TRUE	driver_candidate	2	2	2	TRUE	TRUE	5	1	0.8	0.8	2	recurrent_stable	ranked_candidates	F_e4 · Inhibitory_neurons	strict
phase20_sex_apoe_non_mt_kda_v1_top5_summary_v1	F_e4	Female	e4	Inhibitory_neurons	RPLP1	case3_not_core_mito	FALSE	5	5	3	2	0	5	5	1	TRUE	TRUE	1	1	TRUE	TRUE	0.2	1	Inh LAMP5 NRG1 (Rosehip)	1	AD_down_mito	14.64	14.64	1.44271770388008e-05	0.035846725882407	0.0329131998845175	0.0506443854290119	1.44271770388008e-05	0.035846725882407	1.65501271626101	TRUE	TRUE	FALSE	TRUE	driver_candidate	3	3	3	TRUE	TRUE	5	1	0.8	0.8	3	strict_non_mt_reference	ranked_candidates	F_e4 · Inhibitory_neurons	strict
phase20_sex_apoe_non_mt_kda_v1_top5_summary_v1	M_e2	Male	e2	Astrocytes	RPL11	case3_not_core_mito	FALSE	5	4	2	2	1	4	5	0.8	TRUE	TRUE	1	1	TRUE	TRUE	0.25	1	Ast GRM3	1	AD_down_mito	12.13	12.13	3.79768977049049e-09	2.0765767665042e-05	1.90530095785508e-05	7.70247439250881e-05	4.7471122154762e-09	2.59572095942238e-05	2.50005100659365	TRUE	TRUE	FALSE	TRUE	driver_candidate	1	1	1	TRUE	TRUE	3	0.666666666666667	0.666666666666667	0.666666666666667	1	strict_non_mt_reference	ranked_candidates	M_e2 · Astrocytes	strict
phase20_sex_apoe_non_mt_kda_v1_top5_summary_v1	M_e2	Male	e2	Astrocytes	RPLP1	case3_not_core_mito	FALSE	5	5	2	3	0	5	5	1	TRUE	TRUE	1	1	TRUE	TRUE	0.2	1	Ast GRM3	1	AD_down_mito	22.97	22.97	6.05564220252188e-07	0.00165561257816948	0.00151905784650261	0.0058178148229681	6.05564220252188e-07	0.00165561257816948	1.38336195949943	TRUE	TRUE	FALSE	TRUE	driver_candidate	2	2	2	TRUE	TRUE	3	0.666666666666667	0.666666666666667	0.666666666666667	2	strict_non_mt_reference	ranked_candidates	M_e2 · Astrocytes	strict
phase20_sex_apoe_non_mt_kda_v1_top5_summary_v1	M_e2	Male	e2	Astrocytes	RPL15	case3_not_core_mito	FALSE	5	5	4	1	0	5	5	1	TRUE	TRUE	1	1	TRUE	TRUE	0.2	1	Ast GRM3	1	AD_down_mito	11.08	11.08	2.21340843664564e-06	0.00403430577719279	0.00370155670888372	0.012243368157831	2.21340843664564e-06	0.00403430577719279	1.97022345151706	TRUE	TRUE	FALSE	TRUE	driver_candidate	3	3	3	TRUE	TRUE	3	1	0.666666666666667	0.666666666666667	3	strict_non_mt_reference	ranked_candidates	M_e2 · Astrocytes	strict
phase20_sex_apoe_non_mt_kda_v1_top5_summary_v1	M_e2	Male	e2	Astrocytes	APOE	case3_not_core_mito	FALSE	5	5	3	2	0	5	5	1	TRUE	TRUE	2	2	TRUE	TRUE	0.4	2	Ast DPP10|Ast GRM3	1	AD_down_mito	31.93	46.74	5.06360198980332e-06	0.00570838799188851	0.00523756081845366	0.0225438970735297	5.06360198980332e-06	0.00570838799188851	2.21078044771643	TRUE	TRUE	FALSE	TRUE	driver_candidate	4	4	4	TRUE	TRUE	3	1	1	1	5	recurrent_stable	ranked_candidates	M_e2 · Astrocytes	strict
phase20_sex_apoe_non_mt_kda_v1_top5_summary_v1	M_e2	Male	e2	Astrocytes	LAPTM4A	case3_not_core_mito	FALSE	5	5	2	3	0	5	5	1	TRUE	TRUE	2	2	TRUE	TRUE	0.4	2	Ast DPP10|Ast GRM3	1	AD_down_mito	23.27	34.55	5.21981345271443e-06	0.00570838799188851	0.00523756081845366	0.022686054953133	5.21981345271443e-06	0.00570838799188851	2.24593591256797	TRUE	TRUE	FALSE	TRUE	driver_candidate	5	5	5	TRUE	TRUE	3	1	1	1	5	recurrent_stable	ranked_candidates	M_e2 · Astrocytes	strict
phase20_sex_apoe_non_mt_kda_v1_top5_summary_v1	M_e2	Male	e2	Excitatory_neurons	RPL11	case3_not_core_mito	FALSE	25	25	17	8	0	25	25	1	TRUE	TRUE	8	9	TRUE	TRUE	0.36	9	Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5/6 NP|Exc L6 THEMIS NFIA|Exc NRGN|Exc RELN CHD7	2	AD_down_mito|AD_up_mito	8.96	20.96	1.71693739097877e-13	1.49528077380342e-09	1.34419028339728e-09	1.56703158737242e-08	1.71693739097877e-13	1.49528077380342e-09	3.84424502539771	TRUE	TRUE	FALSE	TRUE	driver_candidate	1	1	1	TRUE	TRUE	13	1	1	1	1	recurrent_stable	ranked_candidates	M_e2 · Excitatory_neurons	strict
phase20_sex_apoe_non_mt_kda_v1_top5_summary_v1	M_e2	Male	e2	Excitatory_neurons	SELENOW	case3_not_core_mito	FALSE	25	25	16	9	0	25	25	1	TRUE	TRUE	6	6	TRUE	TRUE	0.24	6	Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5/6 IT Car3	2	AD_down_mito|AD_up_mito	10.23	20.04	1.28722247422097e-09	5.60521026399523e-06	5.038832375338e-06	3.35667165713354e-05	1.28722247422097e-09	5.60521026399523e-06	2.08664891174778	TRUE	TRUE	FALSE	TRUE	driver_candidate	2	2	2	TRUE	TRUE	13	1	1	1	3	recurrent_stable	ranked_candidates	M_e2 · Excitatory_neurons	strict
phase20_sex_apoe_non_mt_kda_v1_top5_summary_v1	M_e2	Male	e2	Excitatory_neurons	RPS13	case3_not_core_mito	FALSE	25	25	17	8	0	25	25	1	TRUE	TRUE	5	6	TRUE	TRUE	0.24	6	Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc RELN CHD7	1	AD_down_mito	11.285	34.06	2.907852903252e-09	8.44149697814057e-06	7.58852679318665e-06	6.63492066567268e-05	2.907852903252e-09	8.44149697814057e-06	2.1023405907164	TRUE	TRUE	FALSE	TRUE	driver_candidate	3	3	3	TRUE	TRUE	13	1	1	1	3	recurrent_stable	ranked_candidates	M_e2 · Excitatory_neurons	strict
phase20_sex_apoe_non_mt_kda_v1_top5_summary_v1	M_e2	Male	e2	Excitatory_neurons	TMEM147	case3_not_core_mito	FALSE	25	17	9	8	8	17	25	0.68	FALSE	TRUE	4	4	TRUE	TRUE	0.235294117647059	4	Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2	1	AD_down_mito	18.51	26.23	4.48574725318925e-08	9.76659320700629e-05	NA	0.000584870951501899	6.59668718470232e-08	0.000143626371728931	1.99351162159649	FALSE	TRUE	FALSE	TRUE	driver_candidate	NA	4	4	TRUE	TRUE	13	1	1	1	4	recurrent_stable	ranked_candidates	M_e2 · Excitatory_neurons	relaxed only
phase20_sex_apoe_non_mt_kda_v1_top5_summary_v1	M_e2	Male	e2	Excitatory_neurons	LAMTOR5	case3_not_core_mito	FALSE	25	23	14	9	2	23	25	0.92	TRUE	TRUE	5	5	TRUE	TRUE	0.217391304347826	5	Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2	1	AD_down_mito	13.98	19.15	1.04484377120322e-06	0.00181990888068177	0.0020450204711875	0.00794682051282888	1.13569980415035e-06	0.00197816191886908	1.62288033237745	TRUE	TRUE	FALSE	TRUE	driver_candidate	4	5	5	TRUE	TRUE	13	1	1	1	9	recurrent_stable	ranked_candidates	M_e2 · Excitatory_neurons	strict
