schema_version	dataset_id	source_id	modality	context	data_component	path_or_url	bytes	access_state	analysis_use	reason
phase19_opc_rps15_public_recovery_v1	QTD000569	EQTL_Catalogue_r7	eQTL	Inhibitory_neurons	completed_recovery_route	results/minerva_production/19_genetic_support_tier2_recovery	NA	already_local_completed_result	immutable_prior_evidence	complete_indexed_dense_eqtl_region_fails_frozen_per_gene_bonferroni_signal_gate
phase19_opc_rps15_public_recovery_v1	QTD000573	EQTL_Catalogue_r7	sQTL	Inhibitory_neurons	completed_recovery_route	results/minerva_production/19_genetic_support_tier2_recovery	NA	already_local_completed_result	immutable_prior_evidence	target_gene_splicing_event_absent_from_conditionally_detected_cc_and_lbf_releases;measurement_status_unresolved
phase19_opc_rps15_public_recovery_v1	QTD000579	EQTL_Catalogue_r7	eQTL	OPCs	completed_recovery_route	results/minerva_production/19_genetic_support_tier2_recovery	NA	already_local_completed_result	immutable_prior_evidence	dense_regional_eqtl_signal_present_but_released_susie_model_absent_and_qtl_ancestry_matched_ld_unavailable
phase19_opc_rps15_public_recovery_v1	QTD000583	EQTL_Catalogue_r7	sQTL	OPCs	completed_recovery_route	results/minerva_production/19_genetic_support_tier2_recovery	NA	already_local_completed_result	immutable_prior_evidence	target_gene_splicing_event_absent_from_conditionally_detected_cc_and_lbf_releases;measurement_status_unresolved
phase19_opc_rps15_public_recovery_v1	ADSP_FunGen_xQTL.v1.eQTL.hmt_significant.tar	NG00184.v1	eQTL	official_per_file_metadata	hmt_significant	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_coverage/NG00184/ADSP_FunGen_xQTL.v1.eQTL.hmt_significant.tar	1022935040	already_local_official_md5_verified	result_blind_RPS15_audit	official_md5=b2bfc7a62ffdc00e955c1bee60d7c464
phase19_opc_rps15_public_recovery_v1	ADSP_FunGen_xQTL.v1.eQTL.single_context_finemapping_all.tar	NG00184.v1	eQTL	official_per_file_metadata	single_context_finemapping_all	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_coverage/NG00184/ADSP_FunGen_xQTL.v1.eQTL.single_context_finemapping_all.tar	365291520	already_local_official_md5_verified	result_blind_RPS15_audit	official_md5=cb06f0fded0879612fa534066b255e63
phase19_opc_rps15_public_recovery_v1	ADSP_FunGen_xQTL.v1.pQTL.hmt_significant.tar	NG00184.v1	pQTL	official_per_file_metadata	hmt_significant	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_coverage/NG00184/ADSP_FunGen_xQTL.v1.pQTL.hmt_significant.tar	33095680	already_local_official_md5_verified	result_blind_RPS15_audit	official_md5=3753f5ee421868a9848bf256e13fddbb
phase19_opc_rps15_public_recovery_v1	ADSP_FunGen_xQTL.v1.pQTL.single_context_finemapping_all.tar	NG00184.v1	pQTL	official_per_file_metadata	single_context_finemapping_all	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_coverage/NG00184/ADSP_FunGen_xQTL.v1.pQTL.single_context_finemapping_all.tar	30515200	already_local_official_md5_verified	result_blind_RPS15_audit	official_md5=4f7433f1cc56134680111f729963b6a8
phase19_opc_rps15_public_recovery_v1	ADSP_FunGen_xQTL.v1.sQTL.hmt_significant.tar	NG00184.v1	sQTL	official_per_file_metadata	hmt_significant	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_coverage/NG00184/ADSP_FunGen_xQTL.v1.sQTL.hmt_significant.tar	862525440	already_local_official_md5_verified	result_blind_RPS15_audit	official_md5=e63d1b4c2f57510acb7cff4c7d4d9472
phase19_opc_rps15_public_recovery_v1	ADSP_FunGen_xQTL.v1.sQTL.single_context_finemapping_all.tar	NG00184.v1	sQTL	official_per_file_metadata	single_context_finemapping_all	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/qtl_coverage/NG00184/ADSP_FunGen_xQTL.v1.sQTL.single_context_finemapping_all.tar	563374080	already_local_official_md5_verified	result_blind_RPS15_audit	official_md5=c1e0c85799b027849fbe64496d7ef326
