schema_version	check_id	severity	observed	expected	passed	notes
phase18_case3_evidence_atlas_v1_checks_v1	circle_gene_count	error	15	15	TRUE	
phase18_case3_evidence_atlas_v1_checks_v1	circle_gene_identity	error	ANKRD11|APOE|ATP6V1F|DYNLT1|FTL|LAMTOR5|LAPTM4A|NCOA1|RPL11|RPL15|RPL38|RPLP1|RPS13|RPS15|SELENOW	ANKRD11|APOE|ATP6V1F|DYNLT1|FTL|LAMTOR5|LAPTM4A|NCOA1|RPL11|RPL15|RPL38|RPLP1|RPS13|RPS15|SELENOW	TRUE	
phase18_case3_evidence_atlas_v1_checks_v1	circle_display_context_count	error	21	21	TRUE	
phase18_case3_evidence_atlas_v1_checks_v1	passing_context_count	error	22	22	TRUE	
phase18_case3_evidence_atlas_v1_checks_v1	below_cap_context	error	[('Excitatory_neurons', 'RPS15')]	[('Excitatory_neurons', 'RPS15')]	TRUE	
phase18_case3_evidence_atlas_v1_checks_v1	case3_noncore_definition	error	22	22	TRUE	
phase18_case3_evidence_atlas_v1_checks_v1	gene_summary_rows	error	15	15	TRUE	
phase18_case3_evidence_atlas_v1_checks_v1	gene_network_detail_rows	error	22	22	TRUE	
phase18_case3_evidence_atlas_v1_checks_v1	panel_a_grid_rows	error	105	105	TRUE	
phase18_case3_evidence_atlas_v1_checks_v1	panel_a_grid_keys	error	105	105	TRUE	
phase18_case3_evidence_atlas_v1_checks_v1	support_le_usable	error	all	all	TRUE	
phase18_case3_evidence_atlas_v1_checks_v1	usable_le_eligible	error	all	all	TRUE	
phase18_case3_evidence_atlas_v1_checks_v1	passing_q_range	error	all	(0, 0.05]	TRUE	
phase18_case3_evidence_atlas_v1_checks_v1	nonpassing_tile_values_missing	error	all	all	TRUE	
phase18_case3_evidence_atlas_v1_checks_v1	display_flag_reconciliation	error	21|21	21|21	TRUE	
phase18_case3_evidence_atlas_v1_checks_v1	extended_reference_snapshot	error	NCOA1	NCOA1	TRUE	
phase18_case3_evidence_atlas_v1_checks_v1	stability_one_to_one	error	22	22	TRUE	
phase18_case3_evidence_atlas_v1_checks_v1	degree_one_to_one	error	22	22	TRUE	
phase18_case3_evidence_atlas_v1_checks_v1	degree_draws_complete	error	22	22	TRUE	
phase18_case3_evidence_atlas_v1_checks_v1	single_evidence_cap	error	12	> 11.3905	TRUE	
phase18_case3_evidence_atlas_v1_checks_v1	svg_vector_content	error	vector SVG without embedded raster	vector SVG without embedded raster	TRUE	
phase18_case3_evidence_atlas_v1_checks_v1	pdf_header	error	%PDF-	%PDF-	TRUE	
phase18_case3_evidence_atlas_v1_checks_v1	png_dimensions	error	5400x3600	5400x3600	TRUE	
phase18_case3_evidence_atlas_v1_checks_v1	png_dpi_metadata	error	449.986|449.986	450|450	TRUE	
phase18_case3_evidence_atlas_v1_checks_v1	publication_formats	error	SVG|PDF|PNG	SVG|PDF|PNG	TRUE	
phase18_case3_evidence_atlas_v1_checks_v1	minimum_text_size	error	7 pt	>=7 pt	TRUE	Renderer constants enforce the final-size minimum.
phase18_case3_evidence_atlas_v1_checks_v1	colorblind_safe_palette	error	Okabe-Ito networks|cividis evidence	colorblind-safe palettes	TRUE	
phase18_case3_evidence_atlas_v1_checks_v1	grayscale_redundancy	error	labels|solid/dashed borders|network shapes	non-color encodings present	TRUE	
phase18_case3_evidence_atlas_v1_checks_v1	production_status	error	validated_complete	validated_complete	TRUE	
phase18_case3_evidence_atlas_v1_checks_v1	production_checks	error	12	12	TRUE	
phase18_case3_evidence_atlas_v1_checks_v1	source_artifact_verification	error	14	14	TRUE	All recorded source hashes and bytes were verified before preparation.
phase18_case3_evidence_atlas_v1_checks_v1	visual_review_complete	warning	complete	complete	TRUE	Operator review at final size in color, grayscale, and three common CVD simulations.
